"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000290948216127904,4,152,60.2131578947368,"GO:0016064 immunoglobulin mediated immune response "," http://amigo.geneontology.org/amigo/term/GO:0016064"," CD74  C3  FOXJ1  SERPING1"
0.000290948216127904,4,162,56.4962962962963,"GO:0019724 B cell mediated immunity "," http://amigo.geneontology.org/amigo/term/GO:0019724"," CD74  C3  FOXJ1  SERPING1"
0.000333136631520442,3,45,152.54,"GO:0002920 regulation of humoral immune response "," http://amigo.geneontology.org/amigo/term/GO:0002920"," SERPING1  C3  FOXJ1"
0.000839241682874748,3,67,102.45223880597,"GO:0002455 humoral immune response mediated by circulating immunoglobulin "," http://amigo.geneontology.org/amigo/term/GO:0002455"," C3  FOXJ1  SERPING1"
0.00214289258124867,4,353,25.9274787535411,"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains "," http://amigo.geneontology.org/amigo/term/GO:0002460"," CD74  C3  FOXJ1  SERPING1"
0.00214289258124867,6,1424,9.64087078651685,"GO:0051094 positive regulation of developmental process "," http://amigo.geneontology.org/amigo/term/GO:0051094"," CD74  SFRP4  SOD2  FOXJ1  C3  RHOB"
0.0025850525809375,4,385,23.7724675324675,"GO:0002449 lymphocyte mediated immunity "," http://amigo.geneontology.org/amigo/term/GO:0002449"," CD74  C3  FOXJ1  SERPING1"
0.00320015074713182,4,501,18.2682634730539,"GO:0002443 leukocyte mediated immunity "," http://amigo.geneontology.org/amigo/term/GO:0002443"," CD74  C3  FOXJ1  SERPING1"
0.00320015074713182,2,23,198.965217391304,"GO:0002645 positive regulation of tolerance induction "," http://amigo.geneontology.org/amigo/term/GO:0002645"," FOXJ1  IDO1"
0.00320015074713182,4,459,19.9398692810458,"GO:0002697 regulation of immune effector process "," http://amigo.geneontology.org/amigo/term/GO:0002697"," CD74  SERPING1  C3  FOXJ1"
0.00320015074713182,2,18,254.233333333333,"GO:0002830 positive regulation of type 2 immune response "," http://amigo.geneontology.org/amigo/term/GO:0002830"," CD74  IDO1"
0.00320015074713182,2,18,254.233333333333,"GO:0002921 negative regulation of humoral immune response "," http://amigo.geneontology.org/amigo/term/GO:0002921"," SERPING1  FOXJ1"
0.00320015074713182,2,21,217.914285714286,"GO:0030449 regulation of complement activation "," http://amigo.geneontology.org/amigo/term/GO:0030449"," SERPING1  C3"
0.00320015074713182,5,1054,10.8543643263757,"GO:0050776 regulation of immune response "," http://amigo.geneontology.org/amigo/term/GO:0050776"," CD74  C3  SERPING1  FOXJ1  IDO1"
0.00320015074713182,3,154,44.5733766233766,"GO:0050868 negative regulation of T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0050868"," CD74  FOXJ1  IDO1"
0.00320015074713182,3,165,41.6018181818182,"GO:1903038 negative regulation of leukocyte cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:1903038"," CD74  FOXJ1  IDO1"
0.00343897905373865,2,31,147.61935483871,"GO:0002643 regulation of tolerance induction "," http://amigo.geneontology.org/amigo/term/GO:0002643"," FOXJ1  IDO1"
0.00343897905373865,4,533,17.1714821763602,"GO:0002683 negative regulation of immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002683"," SERPING1  CD74  FOXJ1  IDO1"
0.00343897905373865,5,1119,10.2238605898123,"GO:0002684 positive regulation of immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002684"," CD74  C3  SERPING1  FOXJ1  IDO1"
0.00343897905373865,2,33,138.672727272727,"GO:0002828 regulation of type 2 immune response "," http://amigo.geneontology.org/amigo/term/GO:0002828"," CD74  IDO1"
0.00343897905373865,4,563,16.2564831261101,"GO:0030335 positive regulation of cell migration "," http://amigo.geneontology.org/amigo/term/GO:0030335"," MMP7  CD74  SOD2  RHOB"
