"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.40654351728291e-06,10,1222,11.0142485799557,"GO:0044092 negative regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0044092"," NFKBIA  TNFAIP3  DUSP1  ID1  ZC3H12A  GADD45B  NR4A1  C3  RRAD  SOCS3"
1.26698021595351e-05,8,734,14.6696585991345,"GO:0001568 blood vessel development "," http://amigo.geneontology.org/amigo/term/GO:0001568"," NR4A1  ZC3H12A  C3  RHOB  JUNB  SOCS3  TNFAIP3  ID1"
1.26698021595351e-05,8,765,14.0752018454441,"GO:0001944 vasculature development "," http://amigo.geneontology.org/amigo/term/GO:0001944"," NR4A1  ZC3H12A  C3  ID1  RHOB  JUNB  SOCS3  TNFAIP3"
2.13104702102491e-05,9,1237,9.7926197156308,"GO:0048646 anatomical structure formation involved in morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0048646"," DUSP1  NR4A1  ZC3H12A  TNFAIP3  C3  RHOB  ETS2  JUNB  ID1"
2.1680859617829e-05,9,1272,9.52316870144284,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  NR4A1  CXCL1  TNFAIP3  RHOB  ZC3H12A  NFKBIA  ID1  SOCS3"
4.10640344493127e-05,6,376,21.4777847309136,"GO:0032496 response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0032496"," CXCL2  CXCL1  TNFAIP3  ZC3H12A  NFKBIA  NR4A1"
4.10640344493127e-05,7,647,14.561960178198,"GO:0048514 blood vessel morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0048514"," NR4A1  ZC3H12A  C3  RHOB  JUNB  TNFAIP3  ID1"
4.10640344493127e-05,12,3300,4.89433155080214,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CXCL2  NR4A1  CXCL1  NFKBIA  TNFAIP3  RHOB  ZC3H12A  ID1  ATF3  JUNB  SOCS3  DUSP1"
4.35908937612779e-05,6,400,20.1891176470588,"GO:0002237 response to molecule of bacterial origin "," http://amigo.geneontology.org/amigo/term/GO:0002237"," CXCL2  CXCL1  TNFAIP3  ZC3H12A  NFKBIA  NR4A1"
7.79071034015317e-05,9,1602,7.56146728354263,"GO:0016477 cell migration "," http://amigo.geneontology.org/amigo/term/GO:0016477"," CXCL2  TNFAIP3  RHOB  CXCL1  NR4A1  MMP7  ZC3H12A  DUSP1  ID1"
7.92679612295422e-05,7,772,12.2041298384639,"GO:0009617 response to bacterium "," http://amigo.geneontology.org/amigo/term/GO:0009617"," CXCL2  CXCL1  TNFAIP3  ZC3H12A  NFKBIA  NR4A1  C3"
