"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.50993057629152e-06,14,2320,6.27613636363636,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," CD74  DDIT4  WT1  GADD45B  HSPB1  PRDX5  RHOB  LCN2  CEBPB  SOCS3  TXNIP  PLAUR  CD36  ATF3"
1.50993057629152e-06,13,1810,7.46993972877951,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," CD74  WT1  GADD45B  HSPB1  PRDX5  RHOB  CEBPB  SOCS3  TXNIP  PLAUR  CD36  ATF3  DDIT4"
3.42924225146923e-06,13,2065,6.54750165089148,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," CD74  DDIT4  WT1  GADD45B  HSPB1  PRDX5  RHOB  LCN2  CEBPB  SOCS3  TXNIP  PLAUR  ATF3"
3.69020952825977e-06,13,2127,6.35664828824208,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," CD74  DDIT4  WT1  GADD45B  HSPB1  PRDX5  RHOB  LCN2  CEBPB  SOCS3  TXNIP  PLAUR  ATF3"
2.12920809172e-05,16,4424,3.76146638171955,"GO:0006950 response to stress "," http://amigo.geneontology.org/amigo/term/GO:0006950"," HSPB1  CD74  DSP  DUSP1  PRDX5  DDIT4  PLAUR  CEBPB  GADD45B  RHOB  LCN2  ATF3  C6  CD36  SOCS3  TXNIP"
2.12920809172e-05,11,1594,7.17722710163112,"GO:0042981 regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0042981"," CD74  WT1  GADD45B  HSPB1  PRDX5  RHOB  CEBPB  SOCS3  TXNIP  PLAUR  ATF3"
2.12920809172e-05,11,1627,7.03165334972342,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," CD74  WT1  GADD45B  HSPB1  PRDX5  RHOB  CEBPB  SOCS3  TXNIP  PLAUR  ATF3"
2.21788933572234e-05,13,2613,5.17435549525102,"GO:0051172 negative regulation of nitrogen compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051172"," CEBPB  DUSP1  PRDX5  ATF3  WT1  TCF7  GADD45B  HSPB1  CD36  DDIT4  TXNIP  PLAUR  SOCS3"
3.5969878865164e-05,13,2748,4.92015680825725,"GO:0031324 negative regulation of cellular metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0031324"," CEBPB  DUSP1  PRDX5  ATF3  WT1  TCF7  GADD45B  HSPB1  CD36  DDIT4  TXNIP  PLAUR  SOCS3"
5.23796680333665e-05,16,4821,3.4517169202919,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," CD74  PRDX5  TCF7  CD36  RHOB  WT1  TYMP  HSPB1  ATF3  DDIT4  CEBPB  SOCS3  TXNIP  BAIAP3  DUSP1  PLAUR"
0.000101231228500217,13,3073,4.39980179274029,"GO:0009605 response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," PLAUR  CD74  CD36  LCN2  DDIT4  TYMP  C6  ATF3  CEBPB  SOCS3  TXNIP  HSPB1  DUSP1"
0.000101231228500217,13,3057,4.42282986885538,"GO:0010605 negative regulation of macromolecule metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0010605"," CEBPB  DUSP1  PRDX5  ATF3  WT1  TCF7  GADD45B  HSPB1  CD36  TXNIP  PLAUR  SOCS3  DDIT4"
0.000199726832614984,13,3283,4.11836457785285,"GO:0009892 negative regulation of metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009892"," CEBPB  DUSP1  PRDX5  ATF3  WT1  TCF7  GADD45B  HSPB1  CD36  DDIT4  TXNIP  PLAUR  SOCS3"
0.000199726832614984,13,3300,4.09714876033058,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CD74  PRDX5  TCF7  RHOB  WT1  HSPB1  CD36  ATF3  DDIT4  CEBPB  SOCS3  BAIAP3  DUSP1"
0.000879348056806915,8,1165,7.14194303550527,"GO:0001932 regulation of protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0001932"," CD74  DUSP1  GADD45B  HSPB1  CD36  SOCS3  PLAUR  DDIT4"
0.000922854301494518,14,4552,3.19873382329446,"GO:0030154 cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030154"," CEBPB  CD74  DSP  TXNIP  TYMP  TCF7  PHGDH  GADD45B  CD36  RHOB  ATF3  SOCS3  DDIT4  WT1"
0.000922854301494518,7,835,8.71894393032118,"GO:0043086 negative regulation of catalytic activity "," http://amigo.geneontology.org/amigo/term/GO:0043086"," DUSP1  GADD45B  HSPB1  PRDX5  SOCS3  TXNIP  PLAUR"
0.000922854301494518,11,2609,4.38501341510157,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," CD74  TCF7  WT1  CD36  ATF3  DDIT4  CEBPB  SOCS3  BAIAP3  HSPB1  DUSP1"
0.000932243559734464,14,4576,3.18195724729816,"GO:0048869 cellular developmental process "," http://amigo.geneontology.org/amigo/term/GO:0048869"," CEBPB  CD74  DSP  TXNIP  TYMP  TCF7  PHGDH  GADD45B  CD36  RHOB  ATF3  SOCS3  DDIT4  WT1"
0.000946728197319633,12,3269,3.81784810478601,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CD74  TCF7  CD36  WT1  ATF3  DDIT4  CEBPB  SOCS3  TXNIP  BAIAP3  HSPB1  DUSP1"
0.000946728197319633,10,2160,4.81502525252525,"GO:0033554 cellular response to stress "," http://amigo.geneontology.org/amigo/term/GO:0033554"," CD74  DUSP1  PRDX5  CEBPB  GADD45B  RHOB  ATF3  HSPB1  CD36  DDIT4"
0.000946728197319633,5,317,16.4045024376255,"GO:0097193 intrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097193"," CD74  HSPB1  DDIT4  CEBPB  PLAUR"
0.000946728197319633,6,566,11.0252168326373,"GO:1902532 negative regulation of intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:1902532"," CD74  DUSP1  DDIT4  HSPB1  ATF3  PLAUR"
0.00104690812922607,8,1272,6.54116638078902,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," RHOB  CD36  DDIT4  CEBPB  SOCS3  WT1  BAIAP3  PRDX5"
0.00109901946000333,5,342,15.2053429027113,"GO:0001933 negative regulation of protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0001933"," DUSP1  GADD45B  HSPB1  SOCS3  DDIT4"
0.00120202874605206,9,1752,5.34269925280199,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," RHOB  CD36  DDIT4  CEBPB  SOCS3  TXNIP  WT1  BAIAP3  PRDX5"
0.0012055393274437,8,1318,6.31287074079183,"GO:0042325 regulation of phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0042325"," CD74  DUSP1  GADD45B  HSPB1  CD36  DDIT4  SOCS3  PLAUR"
0.00129863001619212,11,2847,4.01844046364594,"GO:0035556 intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035556"," CD74  DUSP1  DDIT4  GADD45B  CD36  HSPB1  RHOB  ATF3  CEBPB  SOCS3  PLAUR"
0.00137981538366203,7,964,7.55219728404376,"GO:0043066 negative regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0043066"," CD74  WT1  HSPB1  PRDX5  CEBPB  SOCS3  PLAUR"
0.00150266119060461,6,650,9.60041958041958,"GO:0010942 positive regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010942"," GADD45B  RHOB  TXNIP  CD36  ATF3  DDIT4"
0.00150266119060461,7,987,7.37620889748549,"GO:0043069 negative regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043069"," CD74  WT1  HSPB1  PRDX5  CEBPB  SOCS3  PLAUR"
0.00150432328656404,6,655,9.52713393476752,"GO:0097190 apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097190"," CD74  HSPB1  DDIT4  CEBPB  PLAUR  ATF3"
0.00150714329161623,5,387,13.4372797744891,"GO:0042326 negative regulation of phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0042326"," DUSP1  GADD45B  HSPB1  DDIT4  SOCS3"
0.001904713761441,11,3024,3.78323412698413,"GO:0051239 regulation of multicellular organismal process "," http://amigo.geneontology.org/amigo/term/GO:0051239"," CD74  PLAUR  CEBPB  HSPB1  CD36  RHOB  TYMP  DSP  TCF7  LCN2  WT1"
0.00193104699861335,4,202,20.5949594959496,"GO:0000302 response to reactive oxygen species "," http://amigo.geneontology.org/amigo/term/GO:0000302"," RHOB  CD36  TXNIP  PRDX5"
0.00202285431194341,8,1478,5.62947472013778,"GO:0019220 regulation of phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019220"," CD74  DUSP1  GADD45B  HSPB1  CD36  DDIT4  SOCS3  PLAUR"
0.00202285431194341,8,1479,5.62566844919786,"GO:0051174 regulation of phosphorus metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051174"," CD74  DUSP1  GADD45B  HSPB1  CD36  DDIT4  SOCS3  PLAUR"
0.00209445441198976,7,1073,6.78501228501228,"GO:0032269 negative regulation of cellular protein metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0032269"," DUSP1  GADD45B  HSPB1  PRDX5  PLAUR  SOCS3  DDIT4"
0.00224283116666558,7,1089,6.68532431755572,"GO:0032101 regulation of response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0032101"," PLAUR  CD74  CD36  CEBPB  SOCS3  HSPB1  DUSP1"
0.00237402592909237,8,1529,5.44170283607825,"GO:0080134 regulation of response to stress "," http://amigo.geneontology.org/amigo/term/GO:0080134"," CD74  DUSP1  PLAUR  GADD45B  HSPB1  CD36  CEBPB  SOCS3"
0.00243708006670109,7,1112,6.54704872465664,"GO:0060548 negative regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0060548"," CD74  WT1  HSPB1  PRDX5  CEBPB  SOCS3  PLAUR"
0.00255255458642264,5,457,11.3790531131888,"GO:0010563 negative regulation of phosphorus metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0010563"," DUSP1  GADD45B  HSPB1  DDIT4  SOCS3"
0.00255255458642264,5,456,11.4040071770335,"GO:0045936 negative regulation of phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0045936"," DUSP1  GADD45B  HSPB1  DDIT4  SOCS3"
0.00285464003195631,9,2086,4.4872526802057,"GO:0009888 tissue development "," http://amigo.geneontology.org/amigo/term/GO:0009888"," DUSP1  DSP  CEBPB  TXNIP  PHGDH  ATF3  SOCS3  WT1  RHOB"
0.00289310791271215,5,476,10.9248472116119,"GO:0006979 response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:0006979"," PRDX5  RHOB  HSPB1  CD36  TXNIP"
0.00289310791271215,7,1160,6.27613636363636,"GO:0051248 negative regulation of protein metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051248"," DUSP1  GADD45B  HSPB1  PRDX5  PLAUR  SOCS3  DDIT4"
0.00333995642607574,8,1641,5.07030081435932,"GO:0031399 regulation of protein modification process "," http://amigo.geneontology.org/amigo/term/GO:0031399"," CD74  DUSP1  GADD45B  HSPB1  CD36  SOCS3  PLAUR  DDIT4"
0.00340068929645381,2,15,138.672727272727,"GO:1990440 positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress "," http://amigo.geneontology.org/amigo/term/GO:1990440"," ATF3  CEBPB"
0.00362930487269429,7,1222,5.95770718643059,"GO:0044092 negative regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0044092"," DUSP1  GADD45B  HSPB1  PRDX5  SOCS3  TXNIP  PLAUR"
0.00362930487269429,8,1674,4.970348647768,"GO:0045934 negative regulation of nucleobase-containing compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0045934"," CEBPB  PRDX5  ATF3  WT1  TCF7  CD36  DDIT4  TXNIP"
0.00369490561975273,8,1684,4.94083351328007,"GO:0006468 protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0006468"," CD74  DUSP1  GADD45B  HSPB1  CD36  SOCS3  PLAUR  DDIT4"
0.00433618289420782,8,1729,4.81224039118776,"GO:0007155 cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0007155"," HSPB1  DSP  PLAUR  CD36  CD74  RHOB  CEBPB  DUSP1"
