"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.55010392045016e-06,11,3300,6.35583333333333,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CXCL2  NR4A1  LGR5  RHOB  COL1A2  SOD2  ID1  CD36  ATF3  SOCS3  DUSP1"
1.18335965991094e-05,7,765,17.447385620915,"GO:0001944 vasculature development "," http://amigo.geneontology.org/amigo/term/GO:0001944"," SOD2  NR4A1  ID1  LIF  RHOB  SOCS3  COL1A2"
1.18335965991094e-05,10,2609,7.30835569183595,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," CXCL2  NR4A1  LGR5  COL1A2  SOD2  ID1  CD36  ATF3  SOCS3  DUSP1"
1.18335965991094e-05,8,1272,11.9921383647799,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  NR4A1  RHOB  SOD2  ID1  CD36  COL1A2  SOCS3"
1.91045723257192e-05,9,2086,8.22662991371045,"GO:0009888 tissue development "," http://amigo.geneontology.org/amigo/term/GO:0009888"," DUSP1  LIF  NR4A1  ID1  LGR5  ATF3  COL1A2  SOCS3  RHOB"
3.82099141929981e-05,10,3269,5.83282349342307,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CXCL2  NR4A1  LGR5  CD36  COL1A2  SOD2  ID1  ATF3  SOCS3  DUSP1"
6.52194751237436e-05,11,4821,4.35060153495126,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," CXCL2  NR4A1  LGR5  CD36  RHOB  COL1A2  SOD2  ID1  ATF3  SOCS3  DUSP1"
7.12454584003141e-05,8,1752,8.70662100456621,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," CXCL2  NR4A1  RHOB  SOD2  ID1  CD36  COL1A2  SOCS3"
7.33653316314924e-05,7,1150,11.6063043478261,"GO:0072359 circulatory system development "," http://amigo.geneontology.org/amigo/term/GO:0072359"," SOD2  NR4A1  ID1  LIF  RHOB  SOCS3  COL1A2"
0.000151680661044506,9,2867,5.98561213812347,"GO:0009653 anatomical structure morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0009653"," DUSP1  RHOB  NR4A1  LIF  ID1  CD36  LGR5  SOCS3  COL1A2"
0.00117758989233002,7,1810,7.37417127071823,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," SOD2  NR4A1  ID1  RHOB  SOCS3  CD36  ATF3"
0.00117758989233002,5,650,14.6673076923077,"GO:0010942 positive regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010942"," SOD2  NR4A1  RHOB  CD36  ATF3"
0.00117758989233002,7,1835,7.27370572207085,"GO:0042127 regulation of cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0042127"," LIF  SOD2  DUSP1  NR4A1  ID1  LGR5  ATF3"
0.00117758989233002,5,654,14.5775993883792,"GO:0071417 cellular response to organonitrogen compound "," http://amigo.geneontology.org/amigo/term/GO:0071417"," NR4A1  ID1  COL1A2  SOCS3  CD36"
0.00154320062884502,8,2847,5.35792061819459,"GO:0035556 intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035556"," DUSP1  LIF  CD36  COL1A2  SOD2  RHOB  ATF3  SOCS3"
0.00169412198038662,5,734,12.9887602179837,"GO:0001568 blood vessel development "," http://amigo.geneontology.org/amigo/term/GO:0001568"," NR4A1  RHOB  SOCS3  COL1A2  ID1"
0.00169412198038662,5,734,12.9887602179837,"GO:1901699 cellular response to nitrogen compound "," http://amigo.geneontology.org/amigo/term/GO:1901699"," NR4A1  ID1  COL1A2  SOCS3  CD36"
0.00185733192428554,8,2990,5.10167224080268,"GO:0007166 cell surface receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007166"," CXCL2  LIF  LGR5  COL1A2  CD36  SOCS3  ATF3  ID1"
0.00193042495651596,7,2143,6.22830144657023,"GO:0008283 cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0008283"," LIF  SOD2  DUSP1  NR4A1  ID1  LGR5  ATF3"
0.00193042495651596,4,376,20.2845744680851,"GO:0032496 response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0032496"," CXCL2  SOD2  NR4A1  CD36"
0.00193042495651596,2,16,238.34375,"GO:0051447 negative regulation of meiotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0051447"," LIF  DUSP1"
0.00193042495651596,4,375,20.3386666666667,"GO:1901653 cellular response to peptide "," http://amigo.geneontology.org/amigo/term/GO:1901653"," NR4A1  ID1  SOCS3  CD36"
0.00205515131937447,6,1409,8.11958836053939,"GO:0071495 cellular response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071495"," NR4A1  LGR5  COL1A2  ID1  SOCS3  CD36"
0.00215999999065183,4,400,19.0675,"GO:0002237 response to molecule of bacterial origin "," http://amigo.geneontology.org/amigo/term/GO:0002237"," CXCL2  CD36  SOD2  NR4A1"
0.00215999999065183,2,19,200.710526315789,"GO:0019430 removal of superoxide radicals "," http://amigo.geneontology.org/amigo/term/GO:0019430"," SOD2  CD36"
0.00215999999065183,2,19,200.710526315789,"GO:1903428 positive regulation of reactive oxygen species biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:1903428"," SOD2  CD36"
0.002313110965882,7,2320,5.753125,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," SOD2  NR4A1  ID1  RHOB  SOCS3  CD36  ATF3"
0.002313110965882,3,147,38.9132653061224,"GO:0034614 cellular response to reactive oxygen species "," http://amigo.geneontology.org/amigo/term/GO:0034614"," RHOB  SOD2  CD36"
0.002313110965882,4,425,17.9458823529412,"GO:0045786 negative regulation of cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0045786"," NR4A1  LIF  RHOB  DUSP1"
0.002313110965882,2,21,181.595238095238,"GO:0071450 cellular response to oxygen radical "," http://amigo.geneontology.org/amigo/term/GO:0071450"," SOD2  CD36"
0.002313110965882,2,21,181.595238095238,"GO:0071451 cellular response to superoxide "," http://amigo.geneontology.org/amigo/term/GO:0071451"," SOD2  CD36"
