"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.98532660500897e-05,9,1222,11.2345335515548,"GO:0044092 negative regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0044092"," NFKBIA  TNFAIP3  ID1  ZC3H12A  BIRC3  GADD45B  CDKN1A  C3  RRAD"
2.22128073153251e-05,12,3356,5.45435041716329,"GO:0065009 regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0065009"," CD74  NFKBIA  TNFAIP3  CDKN1A  ID1  ZC3H12A  BIRC3  GADD45B  C3  LIF  CXCL1  RRAD"
4.7298921666862e-05,11,2847,5.89371268001405,"GO:0035556 intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035556"," CD74  GADD45B  NFKBIA  TNFAIP3  CDKN1A  LIF  ZC3H12A  RHOB  BIRC3  CXCL1  RRAD"
0.000138959172886315,9,2065,6.64823244552058,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," CD74  BIRC3  GADD45B  TNFAIP3  CDKN1A  ID1  RHOB  ZC3H12A  NFKBIA"
0.000138959172886315,7,892,11.9706278026906,"GO:0006954 inflammatory response "," http://amigo.geneontology.org/amigo/term/GO:0006954"," CXCL2  CXCL1  NFKBIA  TNFAIP3  C3  ZC3H12A  BIRC3"
0.000138959172886315,5,318,23.9842767295597,"GO:0007249 I-kappaB kinase/NF-kappaB signaling "," http://amigo.geneontology.org/amigo/term/GO:0007249"," CD74  NFKBIA  TNFAIP3  ZC3H12A  BIRC3"
0.000138959172886315,6,569,16.0850615114236,"GO:0019221 cytokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0019221"," CD74  CXCL2  CXCL1  NFKBIA  BIRC3  TNFAIP3"
0.000138959172886315,3,34,134.594117647059,"GO:0035872 nucleotide-binding domain leucine rich repeat containing receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0035872"," NFKBIA  TNFAIP3  BIRC3"
0.000138959172886315,3,33,138.672727272727,"GO:0070423 nucleotide-binding oligomerization domain containing signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0070423"," NFKBIA  TNFAIP3  BIRC3"
0.000138959172886315,5,295,25.8542372881356,"GO:0071216 cellular response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071216"," CXCL2  CXCL1  TNFAIP3  ZC3H12A  NFKBIA"
0.000138959172886315,5,268,28.4589552238806,"GO:0071219 cellular response to molecule of bacterial origin "," http://amigo.geneontology.org/amigo/term/GO:0071219"," CXCL2  CXCL1  TNFAIP3  ZC3H12A  NFKBIA"
0.000138959172886315,5,258,29.562015503876,"GO:0071222 cellular response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0071222"," CXCL2  CXCL1  TNFAIP3  ZC3H12A  NFKBIA"
0.000138959172886315,7,935,11.4201069518717,"GO:0071345 cellular response to cytokine stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071345"," CD74  CXCL2  CXCL1  NFKBIA  ZC3H12A  BIRC3  TNFAIP3"
0.000138959172886315,5,313,24.3674121405751,"GO:1901342 regulation of vasculature development "," http://amigo.geneontology.org/amigo/term/GO:1901342"," ZC3H12A  C3  ID1  RHOB  TNFAIP3"
0.000138959172886315,8,1483,8.22872555630479,"GO:2000026 regulation of multicellular organismal development "," http://amigo.geneontology.org/amigo/term/GO:2000026"," CD74  LIF  ZC3H12A  NFKBIA  C3  ID1  RHOB  TNFAIP3"
0.000146724996531706,9,2127,6.45444287729196,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," CD74  BIRC3  GADD45B  TNFAIP3  CDKN1A  ID1  RHOB  ZC3H12A  NFKBIA"
0.000158453722517417,7,1032,10.3467054263566,"GO:0034097 response to cytokine "," http://amigo.geneontology.org/amigo/term/GO:0034097"," CD74  CXCL2  CXCL1  NFKBIA  ZC3H12A  BIRC3  TNFAIP3"
0.000166967841753796,9,2190,6.26876712328767,"GO:0006955 immune response "," http://amigo.geneontology.org/amigo/term/GO:0006955"," CD74  CXCL2  C3  CXCL1  TNFAIP3  ZC3H12A  NFKBIA  LIF  BIRC3"
0.000180932078411776,10,2990,5.10167224080268,"GO:0007166 cell surface receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007166"," CD74  CXCL2  TNFAIP3  LIF  CXCL1  NFKBIA  C3  ZC3H12A  BIRC3  ID1"
0.000180932078411776,8,1602,7.61747815230961,"GO:0016477 cell migration "," http://amigo.geneontology.org/amigo/term/GO:0016477"," CXCL2  TNFAIP3  RHOB  CXCL1  MMP7  ZC3H12A  CD74  ID1"
0.000184887185567361,8,1627,7.50043023970498,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," CD74  BIRC3  GADD45B  TNFAIP3  CDKN1A  ID1  RHOB  ZC3H12A"
0.000184887185567361,8,1618,7.54215080346106,"GO:0051247 positive regulation of protein metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051247"," CD74  BIRC3  TNFAIP3  CDKN1A  C3  LIF  NFKBIA  ZC3H12A"
0.000188659140573576,8,1641,7.43644119439366,"GO:0031399 regulation of protein modification process "," http://amigo.geneontology.org/amigo/term/GO:0031399"," CD74  BIRC3  TNFAIP3  CDKN1A  C3  LIF  GADD45B  ZC3H12A"
0.000195532309830686,9,2320,5.9175,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," CD74  BIRC3  GADD45B  TNFAIP3  ZC3H12A  CDKN1A  ID1  RHOB  NFKBIA"
0.000195532309830686,5,376,20.2845744680851,"GO:0032496 response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0032496"," CXCL2  CXCL1  TNFAIP3  ZC3H12A  NFKBIA"
0.00020623930081356,7,1165,9.16549356223176,"GO:0001932 regulation of protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0001932"," CD74  CDKN1A  C3  LIF  GADD45B  TNFAIP3  ZC3H12A"
