"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.7651667870487e-07,15,1810,7.29313642158946,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," BIRC3  WT1  GADD45B  CCL2  ZC3H12A  NR4A1  ID1  RHOB  FOS  CEBPB  SOCS3  TXNIP  PLAUR  CD36  ATF3"
2.19694712580377e-07,16,2320,6.06923076923077,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," BIRC3  WT1  GADD45B  CCL2  ZC3H12A  NR4A1  ID1  RHOB  LCN2  FOS  CEBPB  SOCS3  TXNIP  PLAUR  CD36  ATF3"
4.35561248234088e-07,15,2086,6.32817685670035,"GO:0009888 tissue development "," http://amigo.geneontology.org/amigo/term/GO:0009888"," DUSP1  DUSP5  FOXJ1  STC1  CEBPB  TXNIP  NR4A1  ID1  ATF3  SPRY1  FOS  JUNB  SOCS3  WT1  RHOB"
8.18288738965683e-07,20,4821,3.65085443492413,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," CXCL2  CCL2  NR4A1  SPRY1  CD36  RHOB  ZC3H12A  FOS  WT1  CD83  ID1  STC1  ATF3  JUNB  CEBPB  SOCS3  TXNIP  DUSP1  PLAUR  BIRC3"
8.591564295759e-07,17,3269,4.57652304868579,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CXCL2  CCL2  NR4A1  SPRY1  CD36  ZC3H12A  FOS  WT1  CD83  ID1  STC1  ATF3  CEBPB  SOCS3  TXNIP  DUSP1  BIRC3"
8.591564295759e-07,13,1594,7.17722710163112,"GO:0042981 regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0042981"," BIRC3  WT1  GADD45B  CCL2  NR4A1  ID1  RHOB  ZC3H12A  CEBPB  SOCS3  TXNIP  PLAUR  ATF3"
8.591564295759e-07,12,1237,8.53715564952428,"GO:0048646 anatomical structure formation involved in morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0048646"," DUSP1  DUSP5  NR4A1  ZC3H12A  FOXJ1  CD36  RHOB  SPRY1  JUNB  WT1  CCL2  ID1"
8.591564295759e-07,17,3300,4.53353146853147,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CXCL2  CCL2  NR4A1  SPRY1  RHOB  ZC3H12A  FOS  WT1  ID1  CD36  STC1  ATF3  JUNB  CEBPB  SOCS3  DUSP1  BIRC3"
8.591564295759e-07,12,1272,8.3022496371553,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  NR4A1  CCL2  RHOB  ZC3H12A  FOS  ID1  CD36  STC1  CEBPB  SOCS3  WT1"
9.21111322296346e-07,13,1627,7.03165334972342,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," BIRC3  WT1  GADD45B  CCL2  NR4A1  ID1  RHOB  ZC3H12A  CEBPB  SOCS3  TXNIP  PLAUR  ATF3"
1.32230332877457e-06,14,2065,5.96636245110821,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," BIRC3  WT1  GADD45B  CCL2  NR4A1  ID1  RHOB  LCN2  ZC3H12A  CEBPB  SOCS3  TXNIP  PLAUR  ATF3"
1.73446001116342e-06,14,2127,5.79244873603125,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," BIRC3  WT1  GADD45B  CCL2  NR4A1  ID1  RHOB  LCN2  ZC3H12A  CEBPB  SOCS3  TXNIP  PLAUR  ATF3"
1.73446001116342e-06,13,1752,6.52996575342466,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," CXCL2  NR4A1  CCL2  RHOB  ZC3H12A  FOS  ID1  CD36  STC1  CEBPB  SOCS3  TXNIP  WT1"
1.86306808025769e-06,16,3057,4.60602400543519,"GO:0010605 negative regulation of macromolecule metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0010605"," ID1  ZC3H12A  SPRY1  CEBPB  DUSP1  ATF3  WT1  BIRC3  GADD45B  CD83  NR4A1  FOXJ1  CD36  TXNIP  PLAUR  SOCS3"
1.86306808025769e-06,15,2613,5.0518855427007,"GO:0051172 negative regulation of nitrogen compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051172"," ID1  ZC3H12A  SPRY1  CEBPB  DUSP1  ATF3  WT1  BIRC3  GADD45B  NR4A1  FOXJ1  CD36  TXNIP  PLAUR  SOCS3"
1.86306808025769e-06,15,2609,5.05963086357874,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," CXCL2  CCL2  NR4A1  SPRY1  ZC3H12A  FOS  WT1  ID1  CD36  STC1  ATF3  CEBPB  SOCS3  DUSP1  BIRC3"
2.5541171449641e-06,9,650,12.1851479289941,"GO:0010942 positive regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010942"," GADD45B  ZC3H12A  NR4A1  RHOB  FOS  TXNIP  CCL2  CD36  ATF3"
3.30045192671763e-06,15,2748,4.80370339267719,"GO:0031324 negative regulation of cellular metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0031324"," ID1  ZC3H12A  SPRY1  CEBPB  DUSP1  ATF3  WT1  BIRC3  GADD45B  NR4A1  FOXJ1  CD36  TXNIP  PLAUR  SOCS3"
3.50374464784174e-06,11,1222,7.92178647866046,"GO:0044092 negative regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0044092"," SPRY1  DUSP1  ID1  ZC3H12A  BIRC3  GADD45B  NR4A1  FOXJ1  SOCS3  TXNIP  PLAUR"
3.69302958199511e-06,16,3283,4.28894772604794,"GO:0009892 negative regulation of metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009892"," ID1  ZC3H12A  SPRY1  CEBPB  DUSP1  ATF3  WT1  BIRC3  GADD45B  CD83  NR4A1  FOXJ1  CD36  TXNIP  PLAUR  SOCS3"
3.87674506500909e-06,18,4424,3.58062665182918,"GO:0006950 response to stress "," http://amigo.geneontology.org/amigo/term/GO:0006950"," CXCL2  CCL2  DUSP1  PLAUR  FOS  JUNB  CEBPB  GADD45B  RHOB  LCN2  ATF3  ZC3H12A  CD36  STC1  SOCS3  TXNIP  BIRC3  CD83"
3.8860012050732e-06,10,958,9.18620523526578,"GO:0014070 response to organic cyclic compound "," http://amigo.geneontology.org/amigo/term/GO:0014070"," CCL2  CD83  ID1  CD36  STC1  ZC3H12A  FOS  CEBPB  TXNIP  WT1"
4.60051232504012e-06,15,2867,4.60431702932575,"GO:0009653 anatomical structure morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0009653"," DUSP1  DUSP5  RHOB  CCL2  NR4A1  STC1  ZC3H12A  ID1  FOXJ1  CD36  SPRY1  JUNB  CEBPB  SOCS3  WT1"
5.38736981803674e-06,18,4552,3.47994119237529,"GO:0030154 cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030154"," ID1  CEBPB  JUNB  CCL2  FOXJ1  STC1  ZC3H12A  TXNIP  GADD45B  CD83  NR4A1  CD36  RHOB  ATF3  SPRY1  FOS  SOCS3  WT1"
5.63118563200605e-06,18,4576,3.46168975255514,"GO:0048869 cellular developmental process "," http://amigo.geneontology.org/amigo/term/GO:0048869"," ID1  CEBPB  JUNB  CCL2  FOXJ1  STC1  ZC3H12A  TXNIP  GADD45B  CD83  NR4A1  CD36  RHOB  ATF3  SPRY1  FOS  SOCS3  WT1"
8.37469744558966e-06,15,3024,4.36527014652015,"GO:0051239 regulation of multicellular organismal process "," http://amigo.geneontology.org/amigo/term/GO:0051239"," PLAUR  JUNB  FOXJ1  STC1  ZC3H12A  CEBPB  CD83  NR4A1  ID1  CD36  RHOB  SPRY1  FOS  LCN2  WT1"
1.00148146316707e-05,15,3073,4.29566447220206,"GO:0009605 response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," CXCL2  CCL2  PLAUR  CD36  LCN2  ZC3H12A  NR4A1  STC1  ATF3  FOS  CEBPB  SOCS3  TXNIP  DUSP1  BIRC3"
1.03162782603694e-05,7,376,16.3836947626841,"GO:0032496 response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0032496"," CXCL2  CCL2  ZC3H12A  NR4A1  CD36  FOS  CEBPB"
1.09433216939303e-05,11,1424,6.79804991356958,"GO:0051094 positive regulation of developmental process "," http://amigo.geneontology.org/amigo/term/GO:0051094"," FOXJ1  ZC3H12A  CEBPB  CD83  CD36  RHOB  SPRY1  FOS  JUNB  SOCS3  WT1"
1.46379436432531e-05,7,400,15.4006730769231,"GO:0002237 response to molecule of bacterial origin "," http://amigo.geneontology.org/amigo/term/GO:0002237"," CXCL2  CCL2  CD36  ZC3H12A  NR4A1  FOS  CEBPB"
1.52158444401856e-05,10,1150,7.65250836120401,"GO:0072359 circulatory system development "," http://amigo.geneontology.org/amigo/term/GO:0072359"," NR4A1  ZC3H12A  ID1  FOXJ1  RHOB  SPRY1  JUNB  SOCS3  WT1  CCL2"
2.48159358648183e-05,8,654,10.7649964714185,"GO:0071417 cellular response to organonitrogen compound "," http://amigo.geneontology.org/amigo/term/GO:0071417"," NR4A1  ID1  STC1  FOS  CEBPB  SOCS3  WT1  CD36"
3.74851597146912e-05,9,964,8.21612671560804,"GO:0043066 negative regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0043066"," BIRC3  WT1  CCL2  NR4A1  ID1  ZC3H12A  CEBPB  SOCS3  PLAUR"
4.10584703948991e-05,11,1660,5.83158016682113,"GO:0009719 response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009719"," NR4A1  SPRY1  FOS  WT1  ID1  CD36  STC1  CEBPB  SOCS3  TXNIP  CCL2"
4.10584703948991e-05,9,980,8.08198587127159,"GO:0033993 response to lipid "," http://amigo.geneontology.org/amigo/term/GO:0033993"," CXCL2  CCL2  ZC3H12A  NR4A1  CD36  STC1  FOS  CEBPB  TXNIP"
4.10584703948991e-05,9,987,8.02466682253916,"GO:0043069 negative regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043069"," BIRC3  WT1  CCL2  NR4A1  ID1  ZC3H12A  CEBPB  SOCS3  PLAUR"
4.10584703948991e-05,6,295,17.8990873533246,"GO:0071216 cellular response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071216"," CXCL2  CCL2  CD36  ZC3H12A  TXNIP  CEBPB"
4.27400767280541e-05,8,719,9.79180485717343,"GO:0043408 regulation of MAPK cascade "," http://amigo.geneontology.org/amigo/term/GO:0043408"," CCL2  DUSP1  DUSP5  SPRY1  GADD45B  ZC3H12A  CD36  ATF3"
4.74226067549325e-05,8,734,9.59169985328024,"GO:0001568 blood vessel development "," http://amigo.geneontology.org/amigo/term/GO:0001568"," NR4A1  ZC3H12A  RHOB  JUNB  SOCS3  WT1  CCL2  ID1"
4.74226067549325e-05,8,734,9.59169985328024,"GO:1901699 cellular response to nitrogen compound "," http://amigo.geneontology.org/amigo/term/GO:1901699"," NR4A1  ID1  STC1  FOS  CEBPB  SOCS3  WT1  CD36"
