"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
6.53059599860748e-07,14,2065,6.7445836403832,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," CD74  TNFSF10  DDIT4  GADD45B  SOD2  PMAIP1  NRP1  RHOB  LCN2  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3"
6.53059599860748e-07,14,2127,6.5479855276875,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," CD74  TNFSF10  DDIT4  GADD45B  SOD2  PMAIP1  NRP1  RHOB  LCN2  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3"
6.53059599860748e-07,16,2847,5.59087368855088,"GO:0035556 intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035556"," CD74  DUSP1  TNFSF10  SPRY1  DDIT4  GADD45B  PMAIP1  ZC3H12A  NRP1  SOD2  RHOB  ATF3  COL3A1  CEBPB  SOCS3  PLAUR"
6.53059599860748e-07,18,4338,4.12790907450839,"GO:0048583 regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048583"," CD74  DUSP1  TNFSF10  C3  SPRY1  DDIT4  PLAUR  GADD45B  PMAIP1  SERPING1  ZC3H12A  A2M  NRP1  ATF3  COL3A1  CEBPB  SOCS3  SOD2"
8.12494105808775e-07,13,1777,7.27784982016589,"GO:0048585 negative regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048585"," CD74  DUSP1  SPRY1  DDIT4  PLAUR  SERPING1  A2M  NRP1  ATF3  ZC3H12A  SOCS3  SOD2  COL3A1"
8.48445665904301e-07,13,1810,7.1451597405717,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," CD74  TNFSF10  GADD45B  SOD2  PMAIP1  ZC3H12A  NRP1  RHOB  CEBPB  SOCS3  PLAUR  ATF3  DDIT4"
9.95340299970694e-07,13,1857,6.96431832548992,"GO:1902531 regulation of intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:1902531"," CD74  DUSP1  TNFSF10  SPRY1  DDIT4  GADD45B  PMAIP1  ZC3H12A  NRP1  ATF3  COL3A1  PLAUR  SOD2"
1.02294024320069e-06,14,2320,6.00326086956522,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," CD74  TNFSF10  DDIT4  GADD45B  SOD2  PMAIP1  ZC3H12A  NRP1  RHOB  LCN2  CEBPB  SOCS3  PLAUR  ATF3"
1.18725599358703e-06,12,1529,7.80766059089487,"GO:0080134 regulation of response to stress "," http://amigo.geneontology.org/amigo/term/GO:0080134"," CD74  DUSP1  PLAUR  GADD45B  SERPING1  ZC3H12A  A2M  C3  CEBPB  SOCS3  SOD2  PMAIP1"
1.44893159752404e-06,9,655,13.6693660803186,"GO:0097190 apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097190"," CD74  TNFSF10  PMAIP1  NRP1  SOD2  DDIT4  CEBPB  PLAUR  ATF3"
1.55531498249998e-06,12,1594,7.48928045387595,"GO:0042981 regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0042981"," CD74  TNFSF10  GADD45B  SOD2  PMAIP1  NRP1  RHOB  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3"
1.79644731397374e-06,12,1627,7.33737740840704,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," CD74  TNFSF10  GADD45B  SOD2  PMAIP1  NRP1  RHOB  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3"
