"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.21587694787952e-08,19,3073,5.44117499812261,"GO:0009605 response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," CXCL2  EPHA2  CXCL1  CD74  NFKBIA  IRF1  GDF15  PMAIP1  LCN2  ZC3H12A  DDIT4  CD55  NR4A1  C3  STC1  ATF3  CEBPB  SOCS3  DUSP1"
1.62407347965484e-07,20,4424,3.97847405758798,"GO:0006950 response to stress "," http://amigo.geneontology.org/amigo/term/GO:0006950"," CD74  CXCL2  DUSP1  CXCL1  DDIT4  CEBPB  GADD45B  NFKBIA  IRF1  PMAIP1  EPHA2  RHOB  LCN2  ATF3  ZC3H12A  C3  STC1  SOCS3  CD55  CD83"
1.62407347965484e-07,18,3269,4.84573028684378,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CD74  CXCL2  NR4A1  GDF15  CXCL1  NFKBIA  IRF1  PMAIP1  ZC3H12A  CD55  CD83  STC1  ATF3  DDIT4  CEBPB  SOCS3  DUSP1  EPHA2"
1.62407347965484e-07,18,3300,4.80020979020979,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CD74  CXCL2  NR4A1  GDF15  CXCL1  NFKBIA  IRF1  RHOB  ZC3H12A  CD55  STC1  ATF3  DDIT4  CEBPB  SOCS3  PMAIP1  DUSP1  EPHA2"
1.76517740178705e-07,15,2031,6.49954550619248,"GO:0006952 defense response "," http://amigo.geneontology.org/amigo/term/GO:0006952"," CXCL2  CXCL1  CD74  NFKBIA  IRF1  PMAIP1  LCN2  ZC3H12A  DDIT4  C3  EPHA2  CEBPB  SOCS3  CD55  CD83"
2.04341329042411e-07,14,1731,7.11758432209039,"GO:0043207 response to external biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0043207"," CXCL2  CXCL1  CD74  IRF1  PMAIP1  LCN2  ZC3H12A  DDIT4  CD55  NFKBIA  NR4A1  C3  EPHA2  CEBPB"
2.04341329042411e-07,14,1728,7.12994123931624,"GO:0051707 response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0051707"," CXCL2  CXCL1  CD74  IRF1  PMAIP1  LCN2  ZC3H12A  DDIT4  CD55  NFKBIA  NR4A1  C3  EPHA2  CEBPB"
2.41358213815472e-07,14,1771,6.95682578291274,"GO:0009607 response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009607"," CXCL2  CXCL1  CD74  IRF1  PMAIP1  LCN2  ZC3H12A  DDIT4  CD55  NFKBIA  NR4A1  C3  EPHA2  CEBPB"
6.04569821072414e-07,14,1917,6.42698928614421,"GO:0044419 biological process involved in interspecies interaction between organisms "," http://amigo.geneontology.org/amigo/term/GO:0044419"," CXCL2  CXCL1  CD74  IRF1  PMAIP1  LCN2  ZC3H12A  DDIT4  CD55  NFKBIA  NR4A1  C3  EPHA2  CEBPB"
7.13090894097527e-07,12,1272,8.3022496371553,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  NR4A1  CXCL1  RHOB  ZC3H12A  CD55  NFKBIA  GDF15  STC1  DDIT4  CEBPB  SOCS3"
