"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000166016311053005,18,4552,3.35105448154657,"GO:0030154 cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030154"," LAMC2  ACTB  MYB  DSP  CD46  FOXJ1  TXNIP  TYMP  CDH1  TCF7  PHGDH  LGALS3  CD36  FLNB  CAPN2  H3-3A  SRD5A2  WT1"
0.000166016311053005,18,4576,3.33347902097902,"GO:0048869 cellular developmental process "," http://amigo.geneontology.org/amigo/term/GO:0048869"," LAMC2  ACTB  MYB  DSP  CD46  FOXJ1  TXNIP  TYMP  CDH1  TCF7  PHGDH  LGALS3  CD36  FLNB  CAPN2  H3-3A  SRD5A2  WT1"
0.00112868209814083,11,1729,5.39149154938629,"GO:0007155 cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0007155"," ACTB  HSPB1  CDH1  DSP  GNAS  CD46  CD36  LAMC2  FOXJ1  MYB  LGALS3"
0.00115985741099481,5,198,21.4001122334456,"GO:0045580 regulation of T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045580"," ACTB  CD46  FOXJ1  MYB  TCF7"
0.00115985741099481,9,1104,6.90851449275362,"GO:0098609 cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0098609"," ACTB  HSPB1  CDH1  DSP  GNAS  CD46  FOXJ1  MYB  LGALS3"
0.00126727197297607,15,3774,3.36822116233881,"GO:0048513 animal organ development "," http://amigo.geneontology.org/amigo/term/GO:0048513"," ACTB  LAMC2  DSP  MYB  GNAS  CD46  FOXJ1  TXNIP  CDH1  TCF7  PHGDH  FLNB  H3-3A  SRD5A2  WT1"
0.00148196565445126,4,104,32.5940170940171,"GO:0034109 homotypic cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0034109"," ACTB  HSPB1  GNAS  DSP"
0.00148196565445126,5,229,18.5031538088307,"GO:0045619 regulation of lymphocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045619"," ACTB  CD46  FOXJ1  MYB  TCF7"
0.00186305477043724,9,1271,6.00078678206137,"GO:0060429 epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," GNAS  DSP  FOXJ1  TXNIP  PHGDH  FLNB  LGALS3  WT1  ACTB"
0.00258154844149624,12,2642,3.84910421397931,"GO:0008104 protein localization "," http://amigo.geneontology.org/amigo/term/GO:0008104"," CD36  TXNIP  CDH1  LGALS3  DSP  H3-3A  BAIAP3  ACTB  HSPB1  FOXJ1  CACNB3  GNAS"
0.00258154844149624,16,4821,2.81251008320081,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," LAMC2  GNAS  PRDX5  LGALS3  CDH1  TCF7  CD36  WT1  TYMP  HSPB1  FLNB  CAPN2  TXNIP  SRD5A2  BAIAP3  ACTB"
0.00258154844149624,6,488,10.4193989071038,"GO:0050863 regulation of T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0050863"," ACTB  CD46  FOXJ1  MYB  LGALS3  TCF7"
0.00258154844149624,10,1752,4.83701166920345,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," GNAS  CDH1  CD36  CAPN2  TXNIP  SRD5A2  WT1  BAIAP3  ACTB  PRDX5"
0.00260433807779473,2,6,282.481481481481,"GO:0035502 metanephric part of ureteric bud development "," http://amigo.geneontology.org/amigo/term/GO:0035502"," FOXJ1  WT1"
0.00342529247450122,8,1119,6.05858405322212,"GO:0002684 positive regulation of immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002684"," CD46  C6  ACTB  LGALS3  FOXJ1  CD36  CACNB3  MYB"
0.00342529247450122,5,319,13.2828282828283,"GO:0030217 T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030217"," ACTB  CD46  TCF7  FOXJ1  MYB"
0.00342529247450122,3,52,48.8910256410256,"GO:0034332 adherens junction organization "," http://amigo.geneontology.org/amigo/term/GO:0034332"," DSP  CDH1  ACTB"
