"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00653601664921402,8,3269,5.59951055368614,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," TCF7  CD36  WT1  KRT18  CAPN2  TXNIP  BAIAP3  HSPB1"
0.0106689084294393,4,476,19.227731092437,"GO:0006979 response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:0006979"," HSPB1  CD36  CAPN2  TXNIP"
0.0106689084294393,6,1810,7.58486187845304,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," WT1  KRT18  HSPB1  CAPN2  TXNIP  CD36"
0.0106689084294393,7,2609,6.1390187811422,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," TCF7  WT1  KRT18  CD36  CAPN2  BAIAP3  HSPB1"
0.0171755065281934,3,202,33.9816831683168,"GO:0000302 response to reactive oxygen species "," http://amigo.geneontology.org/amigo/term/GO:0000302"," CD36  CAPN2  TXNIP"
0.0181635541495056,8,4821,3.7968886123211,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," TCF7  CD36  WT1  HSPB1  KRT18  CAPN2  TXNIP  BAIAP3"
0.0181635541495056,7,3300,4.85354545454546,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," TCF7  WT1  HSPB1  KRT18  CD36  CAPN2  BAIAP3"
0.0218257751710152,6,2320,5.9175,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," WT1  KRT18  HSPB1  CAPN2  TXNIP  CD36"
0.0292268929985897,3,295,23.268813559322,"GO:0071216 cellular response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071216"," CD36  TXNIP  CAPN2"
0.0337502501517257,5,1594,7.17722710163112,"GO:0042981 regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0042981"," WT1  KRT18  HSPB1  CAPN2  TXNIP"
0.0337819233268646,5,1627,7.03165334972342,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," WT1  KRT18  HSPB1  CAPN2  TXNIP"
0.0359884759804259,5,1680,6.80982142857143,"GO:0015031 protein transport "," http://amigo.geneontology.org/amigo/term/GO:0015031"," CD36  TXNIP  KRT18  BAIAP3  HSPB1"
0.0360574972148848,1,5,457.62,"GO:0002568 somatic diversification of T cell receptor genes "," http://amigo.geneontology.org/amigo/term/GO:0002568"," TCF7"
0.0360574972148848,1,5,457.62,"GO:0002681 somatic recombination of T cell receptor gene segments "," http://amigo.geneontology.org/amigo/term/GO:0002681"," TCF7"
0.0360574972148848,1,6,381.35,"GO:0006564 L-serine biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0006564"," PHGDH"
0.0360574972148848,1,5,457.62,"GO:0006566 threonine metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006566"," PHGDH"
0.0360574972148848,2,176,26.0011363636364,"GO:0006606 protein import into nucleus "," http://amigo.geneontology.org/amigo/term/GO:0006606"," CD36  TXNIP"
0.0360574972148848,5,2065,5.54019370460048,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," WT1  KRT18  HSPB1  CAPN2  TXNIP"
0.0360574972148848,1,6,381.35,"GO:0007354 zygotic determination of anterior/posterior axis embryo "," http://amigo.geneontology.org/amigo/term/GO:0007354"," WT1"
0.0360574972148848,1,5,457.62,"GO:0007356 thorax and anterior abdomen determination "," http://amigo.geneontology.org/amigo/term/GO:0007356"," WT1"
0.0360574972148848,5,2642,4.33024224072672,"GO:0008104 protein localization "," http://amigo.geneontology.org/amigo/term/GO:0008104"," CD36  TXNIP  KRT18  BAIAP3  HSPB1"
0.0360574972148848,1,6,381.35,"GO:0009448 gamma-aminobutyric acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009448"," PHGDH"
0.0360574972148848,2,198,23.1121212121212,"GO:0009746 response to hexose "," http://amigo.geneontology.org/amigo/term/GO:0009746"," TXNIP  BAIAP3"
0.0360574972148848,2,194,23.5886597938144,"GO:0009749 response to glucose "," http://amigo.geneontology.org/amigo/term/GO:0009749"," TXNIP  BAIAP3"
0.0360574972148848,3,568,12.0850352112676,"GO:0010035 response to inorganic substance "," http://amigo.geneontology.org/amigo/term/GO:0010035"," CD36  CAPN2  TXNIP"
0.0360574972148848,1,7,326.871428571429,"GO:0010886 positive regulation of cholesterol storage "," http://amigo.geneontology.org/amigo/term/GO:0010886"," CD36"
0.0360574972148848,3,650,10.5604615384615,"GO:0010942 positive regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010942"," CAPN2  TXNIP  CD36"
