"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00364027873749426,2,73,69.6529680365297,"Path:hsa04115 p53 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04115 "," CDKN1A  GADD45B"
0.00364027873749426,2,76,66.9035087719298,"Path:hsa05212 Pancreatic cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05212 "," CDKN1A  GADD45B"
0.00364027873749426,2,58,87.6666666666667,"Path:hsa05213 Endometrial cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05213 "," CDKN1A  GADD45B"
0.00364027873749426,2,75,67.7955555555556,"Path:hsa05214 Glioma","http://www.genome.jp/kegg-bin/show_pathway?hsa05214 "," CDKN1A  GADD45B"
0.00364027873749426,2,72,70.6203703703704,"Path:hsa05218 Melanoma","http://www.genome.jp/kegg-bin/show_pathway?hsa05218 "," CDKN1A  GADD45B"
0.00364027873749426,2,76,66.9035087719298,"Path:hsa05220 Chronic myeloid leukemia","http://www.genome.jp/kegg-bin/show_pathway?hsa05220 "," CDKN1A  GADD45B"
0.00364027873749426,2,72,70.6203703703704,"Path:hsa05223 Non-small cell lung cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05223 "," CDKN1A  GADD45B"
0.0040766064454465,2,86,59.1240310077519,"Path:hsa05210 Colorectal cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05210 "," CDKN1A  GADD45B"
0.00414501609419344,2,92,55.268115942029,"Path:hsa05222 Small cell lung cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05222 "," CDKN1A  GADD45B"
0.00684390025328295,2,131,38.8142493638677,"Path:hsa04068 FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CDKN1A  GADD45B"
0.00684390025328295,2,126,40.3544973544974,"Path:hsa04110 Cell cycle","http://www.genome.jp/kegg-bin/show_pathway?hsa04110 "," CDKN1A  GADD45B"
0.00708973029943457,2,156,32.5940170940171,"Path:hsa04218 Cellular senescence","http://www.genome.jp/kegg-bin/show_pathway?hsa04218 "," CDKN1A  GADD45B"
0.00708973029943457,2,155,32.8043010752688,"Path:hsa04934 Cushing syndrome","http://www.genome.jp/kegg-bin/show_pathway?hsa04934 "," CDKN1A  NR4A1"
0.00708973029943457,2,147,34.5895691609977,"Path:hsa05224 Breast cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05224 "," CDKN1A  GADD45B"
0.00708973029943457,2,148,34.3558558558559,"Path:hsa05226 Gastric cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05226 "," CDKN1A  GADD45B"
0.00760315141316524,2,167,30.4471057884232,"Path:hsa05225 Hepatocellular carcinoma","http://www.genome.jp/kegg-bin/show_pathway?hsa05225 "," CDKN1A  GADD45B"
0.00856926184663932,2,183,27.7850637522769,"Path:hsa04621 NOD-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04621 "," TXNIP  CCL2"
0.0089860495346268,2,193,26.3454231433506,"Path:hsa05202 Transcriptional misregulation in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05202 "," CDKN1A  GADD45B"
0.00931061089286519,2,202,25.1716171617162,"Path:hsa05169 Epstein-Barr virus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05169 "," CDKN1A  GADD45B"
0.0108331643034509,2,224,22.6994047619048,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CDKN1A  CCL2"
0.0175394351313258,2,294,17.2947845804989,"Path:hsa04010 MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," NR4A1  GADD45B"
0.0239909807813812,2,354,14.3634651600753,"Path:hsa04151 PI3K-Akt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04151 "," CDKN1A  NR4A1"
0.0415004846791116,1,37,68.7117117117117,"Path:hsa05216 Thyroid cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05216 "," GADD45B"
