"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00053852582487939,2,14,817.178571428571,"GO:0060100 positive reg. of phagocytosis engulfment "," http://amigo.geneontology.org/amigo/term/GO:0060100"," C3  CD36"
0.00053852582487939,2,14,817.178571428571,"GO:1905155 positive reg. of membrane invagination "," http://amigo.geneontology.org/amigo/term/GO:1905155"," C3  CD36"
0.00053852582487939,2,19,602.131578947368,"GO:0019430 removal of superoxide radicals "," http://amigo.geneontology.org/amigo/term/GO:0019430"," SOD2  CD36"
0.00053852582487939,2,19,602.131578947368,"GO:1903428 positive reg. of reactive oxygen species biosynthetic proc. "," http://amigo.geneontology.org/amigo/term/GO:1903428"," SOD2  CD36"
0.00053852582487939,2,21,544.785714285714,"GO:0071450 cellular response to oxygen radical "," http://amigo.geneontology.org/amigo/term/GO:0071450"," SOD2  CD36"
0.00053852582487939,2,21,544.785714285714,"GO:0071451 cellular response to superoxide "," http://amigo.geneontology.org/amigo/term/GO:0071451"," SOD2  CD36"
0.000605956269179863,2,24,476.6875,"GO:0000303 response to superoxide "," http://amigo.geneontology.org/amigo/term/GO:0000303"," SOD2  CD36"
0.000605956269179863,2,26,440.019230769231,"GO:0010884 positive reg. of lipid storage "," http://amigo.geneontology.org/amigo/term/GO:0010884"," C3  CD36"
0.00154179447020525,2,43,266.058139534884,"GO:0097242 amyloid-beta clearance "," http://amigo.geneontology.org/amigo/term/GO:0097242"," CD36  C3"
0.00201552302405392,2,53,215.858490566038,"GO:0045429 positive reg. of nitric oxide biosynthetic proc. "," http://amigo.geneontology.org/amigo/term/GO:0045429"," SOD2  CD36"
0.00210359321661672,2,58,197.25,"GO:1903409 reactive oxygen species biosynthetic proc. "," http://amigo.geneontology.org/amigo/term/GO:1903409"," SOD2  CD36"
0.00210359321661672,2,62,184.524193548387,"GO:0043277 apoptotic cell clearance "," http://amigo.geneontology.org/amigo/term/GO:0043277"," CD36  C3"
0.00210359321661672,2,63,181.595238095238,"GO:0006911 phagocytosis engulfment "," http://amigo.geneontology.org/amigo/term/GO:0006911"," C3  CD36"
0.00217838458777552,2,69,165.804347826087,"GO:0006801 superoxide metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006801"," SOD2  CD36"
