"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0415302921806116,1,5,2288.1,"GO:1901842 negative reg. of high voltage-gated calcium channel activity "," http://amigo.geneontology.org/amigo/term/GO:1901842"," RRAD"
0.0415302921806116,1,7,1634.35714285714,"GO:0061026 cardiac muscle tissue regeneration "," http://amigo.geneontology.org/amigo/term/GO:0061026"," CDKN1A"
0.0415302921806116,1,8,1430.0625,"GO:0071493 cellular response to UV-B "," http://amigo.geneontology.org/amigo/term/GO:0071493"," CDKN1A"
0.0415302921806116,1,8,1430.0625,"GO:0090400 stress-induced premature senescence "," http://amigo.geneontology.org/amigo/term/GO:0090400"," CDKN1A"
0.044508176045056,1,17,672.970588235294,"GO:0010224 response to UV-B "," http://amigo.geneontology.org/amigo/term/GO:0010224"," CDKN1A"
0.044508176045056,1,18,635.583333333333,"GO:0006978 DNA damage response signal transduction by p53 class mediator resulti"," http://amigo.geneontology.org/amigo/term/GO:0006978"," CDKN1A"
0.044508176045056,1,19,602.131578947368,"GO:0042772 DNA damage response signal transduction resulting in transcription "," http://amigo.geneontology.org/amigo/term/GO:0042772"," CDKN1A"
0.044508176045056,1,32,357.515625,"GO:0031571 mitotic G1 DNA damage checkpoint signaling "," http://amigo.geneontology.org/amigo/term/GO:0031571"," CDKN1A"
0.044508176045056,1,47,243.414893617021,"GO:0030890 positive reg. of B cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0030890"," CDKN1A"
0.044508176045056,1,50,228.81,"GO:0034198 cellular response to amino acid starvation "," http://amigo.geneontology.org/amigo/term/GO:0034198"," CDKN1A"
0.044508176045056,1,56,204.294642857143,"GO:0042771 intrinsic apoptotic signaling pathway in response to DNA damage by p5"," http://amigo.geneontology.org/amigo/term/GO:0042771"," CDKN1A"
0.044508176045056,1,58,197.25,"GO:0010332 response to gamma radiation "," http://amigo.geneontology.org/amigo/term/GO:0010332"," CDKN1A"
0.044508176045056,1,71,161.133802816901,"GO:0010972 negative reg. of G2/M transition of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0010972"," CDKN1A"
0.044508176045056,1,75,152.54,"GO:0042246 tissue regeneration "," http://amigo.geneontology.org/amigo/term/GO:0042246"," CDKN1A"
0.044508176045056,1,78,146.673076923077,"GO:0032413 negative reg. of ion transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0032413"," RRAD"
0.0415302921806116,2,546,41.9065934065934,"GO:0007264 small GTPase mediated signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0007264"," CDKN1A  RRAD"
