"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.03697374064314e-06,8,376,18.7242225859247,"GO:0032496 response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0032496"," CXCL2  CXCL1  ZC3H12A  CD55  SOD2  NR4A1  FOS  CEBPB"
1.29237626942227e-06,8,400,17.6007692307692,"GO:0002237 response to molecule of bacterial origin "," http://amigo.geneontology.org/amigo/term/GO:0002237"," CXCL2  CXCL1  ZC3H12A  CD55  SOD2  NR4A1  FOS  CEBPB"
8.78307068501113e-06,9,772,10.259515743324,"GO:0009617 response to bacterium "," http://amigo.geneontology.org/amigo/term/GO:0009617"," CXCL2  CXCL1  LCN2  ZC3H12A  CD55  SOD2  NR4A1  FOS  CEBPB"
5.16483527788618e-06,10,980,8.97998430141287,"GO:0033993 response to lipid "," http://amigo.geneontology.org/amigo/term/GO:0033993"," CXCL2  CXCL1  ZC3H12A  CD55  SOD2  NR4A1  KLF4  STC1  FOS  CEBPB"
8.4066308682543e-07,12,1272,8.3022496371553,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  NR4A1  CXCL1  RHOB  ZC3H12A  FOS  CD55  SOD2  ID1  STC1  CEBPB  SOCS3"
8.4066308682543e-07,13,1594,7.17722710163112,"GO:0042981 reg. of apoptotic proc. "," http://amigo.geneontology.org/amigo/term/GO:0042981"," BIRC3  TNFSF10  GADD45B  SOD2  KLF4  NR4A1  ID1  RHOB  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3"
9.48795889313654e-07,13,1627,7.03165334972342,"GO:0043067 reg. of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," BIRC3  TNFSF10  GADD45B  SOD2  KLF4  NR4A1  ID1  RHOB  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3"
6.05724006255136e-07,14,1810,6.80692732681683,"GO:0010941 reg. of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," BIRC3  TNFSF10  GADD45B  SOD2  KLF4  ZC3H12A  NR4A1  ID1  RHOB  FOS  CEBPB  SOCS3  PLAUR  ATF3"
1.39354041294503e-06,13,1752,6.52996575342466,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," CXCL2  NR4A1  CXCL1  RHOB  ZC3H12A  FOS  CD55  SOD2  ID1  KLF4  STC1  CEBPB  SOCS3"
1.22584137135066e-06,14,2065,5.96636245110821,"GO:0006915 apoptotic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006915"," BIRC3  TNFSF10  GADD45B  SOD2  KLF4  NR4A1  ID1  RHOB  LCN2  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3"
