"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000108052569787365,2,3,1016.93333333333,"GO:0072139 glomerular parietal epithelial cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0072139"," FOXJ1  CD24"
5.46825787226475e-05,3,23,198.965217391304,"GO:0072311 glomerular epithelial cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0072311"," FOXJ1  CD24  WT1"
5.9784013937931e-05,3,26,176.007692307692,"GO:0072010 glomerular epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0072010"," FOXJ1  CD24  WT1"
5.44490041932859e-05,5,202,37.7574257425743,"GO:0000302 response to reactive oxygen species "," http://amigo.geneontology.org/amigo/term/GO:0000302"," ANXA1  CD36  CAPN2  TXNIP  PRDX5"
5.46825787226475e-05,6,476,19.227731092437,"GO:0006979 response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:0006979"," PRDX5  ANXA1  HSPB1  CD36  CAPN2  TXNIP"
0.000175324985774055,6,662,13.8253776435045,"GO:0042110 T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0042110"," ANXA1  CD44  CD24  TCF7  FOXJ1  LGALS3"
5.46825787226475e-05,8,1271,9.60125885129819,"GO:0060429 epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," ANXA1  GNAS  FOXJ1  TXNIP  LGALS3  WT1  CD44  CD24"
5.46825787226475e-05,8,1280,9.53375,"GO:0001775 cell activation "," http://amigo.geneontology.org/amigo/term/GO:0001775"," HSPB1  ANXA1  CD44  GNAS  CD24  TCF7  FOXJ1  LGALS3"
0.000175324985774055,8,1594,7.65570890840652,"GO:0042981 reg. of apoptotic proc. "," http://amigo.geneontology.org/amigo/term/GO:0042981"," LGALS3  ANXA1  WT1  CD44  HSPB1  PRDX5  CAPN2  TXNIP"
5.46825787226475e-05,9,1810,7.58486187845304,"GO:0010941 reg. of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," LGALS3  ANXA1  WT1  CD44  HSPB1  PRDX5  CAPN2  TXNIP  CD36"
4.65876489897119e-05,10,2065,7.38692493946731,"GO:0006915 apoptotic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006915"," LGALS3  ANXA1  WT1  CD44  HSPB1  PRDX5  PPP2R2B  CAPN2  TXNIP  CD24"
1.61183880823988e-05,11,2320,7.2325,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," LGALS3  ANXA1  WT1  CD44  HSPB1  PRDX5  PPP2R2B  CAPN2  TXNIP  CD36  CD24"
4.65876489897119e-05,10,2127,7.17160319699107,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," LGALS3  ANXA1  WT1  CD44  HSPB1  PRDX5  PPP2R2B  CAPN2  TXNIP  CD24"
5.9784013937931e-05,10,2582,5.90782339271882,"GO:0050790 reg. of catalytic activity "," http://amigo.geneontology.org/amigo/term/GO:0050790"," ANXA1  LGALS3  CD44  GNAS  CD24  HSPB1  PRDX5  FOXJ1  PPP2R2B  TXNIP"
7.83968166931438e-05,10,2680,5.69179104477612,"GO:0050793 reg. of developmental proc. "," http://amigo.geneontology.org/amigo/term/GO:0050793"," ANXA1  FOXJ1  CD36  CAPN2  CD44  HSPB1  CD24  TCF7  GNAS  WT1"
5.46825787226475e-05,11,3057,5.4888452731436,"GO:0010605 negative reg. of macromolecule metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0010605"," LGALS3  PRDX5  WT1  TCF7  HSPB1  FOXJ1  CD36  TXNIP  CD44  ANXA1  CD24"
5.46825787226475e-05,11,3300,5.08466666666667,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," GNAS  PRDX5  LGALS3  ANXA1  CD44  TCF7  WT1  HSPB1  CD36  CAPN2  CD24"
5.9784013937931e-05,11,3356,4.99982121573302,"GO:0065009 reg. of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0065009"," ANXA1  LGALS3  CD44  GNAS  CD24  HSPB1  PRDX5  FOXJ1  PPP2R2B  TXNIP  CD36"
0.000153142894176209,12,4821,3.7968886123211,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," GNAS  PRDX5  LGALS3  ANXA1  CD44  TCF7  CD36  WT1  HSPB1  CAPN2  TXNIP  CD24"
