"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.03701700161645e-05,2,14,1634.35714285714,"GO:0060100 positive reg. of phagocytosis engulfment "," http://amigo.geneontology.org/amigo/term/GO:0060100"," C3  CD36"
7.03701700161645e-05,2,14,1634.35714285714,"GO:1905155 positive reg. of membrane invagination "," http://amigo.geneontology.org/amigo/term/GO:1905155"," C3  CD36"
0.00015246870170169,2,26,880.038461538461,"GO:0010884 positive reg. of lipid storage "," http://amigo.geneontology.org/amigo/term/GO:0010884"," C3  CD36"
0.000353023686247759,2,43,532.116279069767,"GO:0097242 amyloid-beta clearance "," http://amigo.geneontology.org/amigo/term/GO:0097242"," CD36  C3"
0.000509010896450256,2,62,369.048387096774,"GO:0043277 apoptotic cell clearance "," http://amigo.geneontology.org/amigo/term/GO:0043277"," CD36  C3"
0.000509010896450256,2,63,363.190476190476,"GO:0006911 phagocytosis engulfment "," http://amigo.geneontology.org/amigo/term/GO:0006911"," C3  CD36"
0.000599553848537722,2,72,317.791666666667,"GO:0099024 plasma membrane invagination "," http://amigo.geneontology.org/amigo/term/GO:0099024"," C3  CD36"
0.00069090712379507,2,81,282.481481481481,"GO:0010324 membrane invagination "," http://amigo.geneontology.org/amigo/term/GO:0010324"," C3  CD36"
0.000732352412239654,2,94,243.414893617021,"GO:0019915 lipid storage "," http://amigo.geneontology.org/amigo/term/GO:0019915"," CD36  C3"
0.000732352412239654,2,94,243.414893617021,"GO:1905954 positive reg. of lipid localization "," http://amigo.geneontology.org/amigo/term/GO:1905954"," C3  CD36"
0.00092044182381143,2,109,209.917431192661,"GO:0045807 positive reg. of endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0045807"," C3  CD36"
0.00109997372006517,2,123,186.024390243902,"GO:0050764 reg. of phagocytosis "," http://amigo.geneontology.org/amigo/term/GO:0050764"," C3  CD36"
0.0031392914734989,2,220,104.004545454545,"GO:0030100 reg. of endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0030100"," C3  CD36"
0.00438652454795761,2,272,84.1213235294118,"GO:0006909 phagocytosis "," http://amigo.geneontology.org/amigo/term/GO:0006909"," C3  CD36"
0.00438652454795761,2,274,83.507299270073,"GO:0006898 receptor-mediated endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0006898"," CD36  C3"
