"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.45421137057996e-06,7,235,24.3414893617021,"GO:0043542 endothelial cell migration "," http://amigo.geneontology.org/amigo/term/GO:0043542"," NR4A1  THBS1  STC1  ZC3H12A  EPHA2  RHOB  ID1"
1.80512313522171e-06,9,566,12.9940055527511,"GO:1902532 negative reg. of intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:1902532"," CD74  DUSP1  DUSP5  SPRY1  THBS1  EPHA2  ATF3  ZC3H12A  PLAUR"
1.07039697093779e-06,10,719,11.3654877806477,"GO:0043408 reg. of MAPK cascade "," http://amigo.geneontology.org/amigo/term/GO:0043408"," CD74  DUSP1  DUSP5  SPRY1  GADD45B  GDF15  ZC3H12A  ATF3  THBS1  EPHA2"
2.74049138104007e-06,10,827,9.88124028329591,"GO:0000165 MAPK cascade "," http://amigo.geneontology.org/amigo/term/GO:0000165"," CD74  DUSP1  DUSP5  SPRY1  GADD45B  GDF15  ZC3H12A  ATF3  THBS1  EPHA2"
1.07039697093779e-06,12,1222,8.02466682253916,"GO:0044092 negative reg. of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0044092"," SPRY1  NFKBIA  DUSP1  ID1  THBS1  ZC3H12A  BIRC3  GADD45B  NR4A1  CDKN1A  SOCS3  PLAUR"
1.45421137057996e-06,12,1272,7.70923180592992,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  NR4A1  CXCL1  RHOB  ZC3H12A  CD55  NFKBIA  ID1  GDF15  STC1  CEBPB  SOCS3"
2.43360068457988e-06,12,1354,7.24235070690019,"GO:0009968 negative reg. of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0009968"," CD74  DUSP1  DUSP5  SPRY1  THBS1  EPHA2  NFKBIA  GDF15  ATF3  ZC3H12A  SOCS3  PLAUR"
1.80512313522171e-06,13,1627,6.52939239617174,"GO:0043067 reg. of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," CD74  BIRC3  GADD45B  THBS1  NR4A1  CDKN1A  ID1  RHOB  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3"
7.73591706123838e-08,16,2065,6.33164994811484,"GO:0006915 apoptotic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006915"," CD74  BIRC3  GADD45B  THBS1  EPHA2  NR4A1  CDKN1A  ID1  RHOB  LCN2  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3  NFKBIA"
1.00262684084914e-07,16,2127,6.14708845456377,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," CD74  BIRC3  GADD45B  THBS1  EPHA2  NR4A1  CDKN1A  ID1  RHOB  LCN2  ZC3H12A  CEBPB  SOCS3  PLAUR  ATF3  NFKBIA"
3.71572375779095e-06,13,1752,6.06353962818004,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," CXCL2  NR4A1  CXCL1  THBS1  RHOB  ZC3H12A  CD55  NFKBIA  ID1  GDF15  STC1  CEBPB  SOCS3"
2.73165439034974e-07,16,2320,5.63571428571429,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," CD74  BIRC3  GADD45B  THBS1  EPHA2  ZC3H12A  NR4A1  CDKN1A  ID1  RHOB  LCN2  CEBPB  SOCS3  PLAUR  ATF3  NFKBIA"
1.56429598861051e-07,17,2609,5.32465914690905,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," CD74  CXCL2  NR4A1  GDF15  CXCL1  SPRY1  NFKBIA  THBS1  ZC3H12A  CD55  ID1  STC1  ATF3  CEBPB  SOCS3  DUSP1  BIRC3"
7.73591706123838e-08,18,2847,5.16656631040193,"GO:0035556 intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035556"," CD74  DUSP1  DUSP5  SPRY1  GADD45B  NFKBIA  CDKN1A  GDF15  THBS1  EPHA2  ZC3H12A  RHOB  ATF3  CEBPB  SOCS3  PLAUR  BIRC3  CXCL1"
7.73591706123838e-08,19,3073,5.05251964111385,"GO:0009605 response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," CXCL2  EPHA2  CXCL1  PLAUR  CD74  NFKBIA  GDF15  THBS1  LCN2  ZC3H12A  CD55  NR4A1  CDKN1A  STC1  ATF3  CEBPB  SOCS3  DUSP1  BIRC3"
7.73591706123838e-08,19,3269,4.7495848446445,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CD74  CXCL2  NR4A1  GDF15  CXCL1  SPRY1  NFKBIA  THBS1  ZC3H12A  CD55  CD83  ID1  STC1  ATF3  CEBPB  SOCS3  DUSP1  EPHA2  BIRC3"
7.73591706123838e-08,19,3300,4.70496753246753,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CD74  CXCL2  NR4A1  GDF15  CXCL1  SPRY1  NFKBIA  THBS1  RHOB  ZC3H12A  CD55  ID1  STC1  ATF3  CEBPB  SOCS3  DUSP1  EPHA2  BIRC3"
9.97233980866965e-07,17,3024,4.59392715419501,"GO:0051239 reg. of multicellular organismal proc. "," http://amigo.geneontology.org/amigo/term/GO:0051239"," CD74  THBS1  PLAUR  STC1  ZC3H12A  CEBPB  CD55  NFKBIA  CD83  NR4A1  ID1  KRT17  GDF15  EPHA2  RHOB  SPRY1  LCN2"
6.30924944755151e-07,20,4424,3.69429733918884,"GO:0006950 response to stress "," http://amigo.geneontology.org/amigo/term/GO:0006950"," CD74  CXCL2  DUSP1  CXCL1  PLAUR  CEBPB  GADD45B  NFKBIA  CDKN1A  THBS1  EPHA2  RHOB  LCN2  ATF3  ZC3H12A  STC1  SOCS3  CD55  BIRC3  CD83"
3.31768739536186e-07,21,4821,3.55958307405103,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," CD74  CXCL2  NR4A1  GDF15  EPHA2  CXCL1  SPRY1  NFKBIA  THBS1  RHOB  ZC3H12A  CD55  CD83  ID1  STC1  ATF3  CEBPB  SOCS3  DUSP1  PLAUR  BIRC3"
