"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0339227071980111,3,1024,11.17236328125,"GO:0000122 negative regulation of transcription by RNA polymerase II "," http://amigo.geneontology.org/amigo/term/GO:0000122"," WT1  CD36  TXNIP"
0.0339227071980111,2,202,37.7574257425743,"GO:0000302 response to reactive oxygen species "," http://amigo.geneontology.org/amigo/term/GO:0000302"," CD36  TXNIP"
0.0339227071980111,2,176,43.3352272727273,"GO:0006606 protein import into nucleus "," http://amigo.geneontology.org/amigo/term/GO:0006606"," CD36  TXNIP"
0.0339227071980111,1,6,635.583333333333,"GO:0007354 zygotic determination of anterior/posterior axis embryo "," http://amigo.geneontology.org/amigo/term/GO:0007354"," WT1"
0.0339227071980111,1,5,762.7,"GO:0007356 thorax and anterior abdomen determination "," http://amigo.geneontology.org/amigo/term/GO:0007356"," WT1"
0.0339227071980111,4,2320,6.575,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," WT1  KRT18  TXNIP  CD36"
0.0339227071980111,1,7,544.785714285714,"GO:0010886 positive regulation of cholesterol storage "," http://amigo.geneontology.org/amigo/term/GO:0010886"," CD36"
0.0339227071980111,4,1810,8.42762430939227,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," WT1  KRT18  TXNIP  CD36"
0.0339227071980111,3,958,11.9420668058455,"GO:0014070 response to organic cyclic compound "," http://amigo.geneontology.org/amigo/term/GO:0014070"," CD36  TXNIP  WT1"
0.0339227071980111,1,10,381.35,"GO:0015911 long-chain fatty acid import across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0015911"," CD36"
0.0339227071980111,1,4,953.375,"GO:0015912 short-chain fatty acid transport "," http://amigo.geneontology.org/amigo/term/GO:0015912"," CD36"
0.0339227071980111,2,234,32.5940170940171,"GO:0017038 protein import "," http://amigo.geneontology.org/amigo/term/GO:0017038"," CD36  TXNIP"
0.0339227071980111,1,8,476.6875,"GO:0032493 response to bacterial lipoprotein "," http://amigo.geneontology.org/amigo/term/GO:0032493"," CD36"
0.0339227071980111,1,7,544.785714285714,"GO:0034196 acylglycerol transport "," http://amigo.geneontology.org/amigo/term/GO:0034196"," CD36"
0.0339227071980111,1,7,544.785714285714,"GO:0034197 triglyceride transport "," http://amigo.geneontology.org/amigo/term/GO:0034197"," CD36"
