"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00111491332070344,3,385,59.4311688311688,"GO:0002449 lymphocyte mediated immunity "," http://amigo.geneontology.org/amigo/term/GO:0002449"," IL1R1  CD74  SERPING1"
0.00111491332070344,3,353,64.8186968838527,"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains "," http://amigo.geneontology.org/amigo/term/GO:0002460"," IL1R1  CD74  SERPING1"
0.00111491332070344,3,459,49.8496732026144,"GO:0002697 regulation of immune effector process "," http://amigo.geneontology.org/amigo/term/GO:0002697"," CD74  IL1R1  SERPING1"
0.00111491332070344,2,35,435.828571428571,"GO:1902624 positive regulation of neutrophil migration "," http://amigo.geneontology.org/amigo/term/GO:1902624"," CD74  IL1R1"
0.00114656749033476,3,501,45.6706586826347,"GO:0002443 leukocyte mediated immunity "," http://amigo.geneontology.org/amigo/term/GO:0002443"," IL1R1  CD74  SERPING1"
0.00114656749033476,2,47,324.553191489362,"GO:1902622 regulation of neutrophil migration "," http://amigo.geneontology.org/amigo/term/GO:1902622"," CD74  IL1R1"
0.00173737724053592,3,645,35.4744186046512,"GO:0002250 adaptive immune response "," http://amigo.geneontology.org/amigo/term/GO:0002250"," IL1R1  CD74  SERPING1"
0.00173737724053592,3,670,34.1507462686567,"GO:0050778 positive regulation of immune response "," http://amigo.geneontology.org/amigo/term/GO:0050778"," CD74  IL1R1  SERPING1"
0.00185685695709462,2,73,208.958904109589,"GO:0001961 positive regulation of cytokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0001961"," CD74  IL1R1"
0.00187260622376932,3,762,30.0275590551181,"GO:0002252 immune effector process "," http://amigo.geneontology.org/amigo/term/GO:0002252"," CD74  IL1R1  SERPING1"
0.00187260622376932,2,81,188.320987654321,"GO:0060760 positive regulation of response to cytokine stimulus "," http://amigo.geneontology.org/amigo/term/GO:0060760"," CD74  IL1R1"
0.00397022191254332,2,123,124.016260162602,"GO:0002720 positive regulation of cytokine production involved in immune response "," http://amigo.geneontology.org/amigo/term/GO:0002720"," CD74  IL1R1"
0.00416115671990698,2,173,88.1734104046243,"GO:0001959 regulation of cytokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0001959"," CD74  IL1R1"
0.00416115671990698,2,168,90.7976190476191,"GO:0002367 cytokine production involved in immune response "," http://amigo.geneontology.org/amigo/term/GO:0002367"," CD74  IL1R1"
0.00416115671990698,3,1119,20.4477211796247,"GO:0002684 positive regulation of immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002684"," CD74  IL1R1  SERPING1"
0.00416115671990698,2,175,87.1657142857143,"GO:0002687 positive regulation of leukocyte migration "," http://amigo.geneontology.org/amigo/term/GO:0002687"," CD74  IL1R1"
0.00416115671990698,2,177,86.180790960452,"GO:0002702 positive regulation of production of molecular mediator of immune response "," http://amigo.geneontology.org/amigo/term/GO:0002702"," CD74  IL1R1"
