"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00319218911531903,8,2086,5.85004793863854,"GO:0009888 tissue development "," http://amigo.geneontology.org/amigo/term/GO:0009888"," SOX2  TXNIP  PHGDH  GLI3  FLNB  NUPR1  FOXA2  ITGAV"
0.00319218911531903,4,249,24.5044176706827,"GO:0010001 glial cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0010001"," PHGDH  GLI3  C5AR1  SOX2"
0.00319218911531903,10,3602,4.23486951693504,"GO:0010646 regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010646"," GLI3  SOX2  C5AR1  HSPB1  BAIAP3  TYMP  ITGAV  NUPR1  MLF1  FOXA2"
0.00319218911531903,10,3615,4.21964038727524,"GO:0023051 regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023051"," GLI3  SOX2  C5AR1  HSPB1  BAIAP3  TYMP  ITGAV  NUPR1  MLF1  FOXA2"
0.00319218911531903,11,4552,3.68615992970123,"GO:0030154 cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030154"," FOXA2  SOX2  ITGAV  TXNIP  TYMP  PHGDH  GLI3  FLNB  NUPR1  MLF1  C5AR1"
0.00319218911531903,7,1237,8.632012934519,"GO:0048646 anatomical structure formation involved in morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0048646"," ITGAV  SOX2  TYMP  GLI3  C5AR1  HSPB1  FOXA2"
0.00319218911531903,11,4576,3.66682692307692,"GO:0048869 cellular developmental process "," http://amigo.geneontology.org/amigo/term/GO:0048869"," FOXA2  SOX2  ITGAV  TXNIP  TYMP  PHGDH  GLI3  FLNB  NUPR1  MLF1  C5AR1"
0.00343544968823299,11,4821,3.480481227961,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," SOX2  TYMP  HSPB1  GLI3  FLNB  NUPR1  C5AR1  TXNIP  BAIAP3  ITGAV  FOXA2"
0.0047707730778883,9,3073,4.46749105109014,"GO:0009605 response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," FOXA2  TYMP  GLI3  FLNB  NUPR1  C5AR1  TXNIP  HSPB1  ITGAV"
0.00570086727997531,5,672,11.3497023809524,"GO:0006935 chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0006935"," TYMP  GLI3  C5AR1  HSPB1  ITGAV"
0.00570086727997531,6,1123,8.14995547640249,"GO:0035295 tube development "," http://amigo.geneontology.org/amigo/term/GO:0035295"," ITGAV  TYMP  PHGDH  GLI3  C5AR1  HSPB1"
0.00570086727997531,5,676,11.2825443786982,"GO:0042330 taxis "," http://amigo.geneontology.org/amigo/term/GO:0042330"," TYMP  GLI3  C5AR1  HSPB1  ITGAV"
0.00570608293334409,3,118,38.7813559322034,"GO:0001708 cell fate specification "," http://amigo.geneontology.org/amigo/term/GO:0001708"," SOX2  GLI3  FOXA2"
0.00570608293334409,4,345,17.6857971014493,"GO:0042063 gliogenesis "," http://amigo.geneontology.org/amigo/term/GO:0042063"," PHGDH  GLI3  C5AR1  SOX2"
0.00674429104118714,5,734,10.3910081743869,"GO:0001568 blood vessel development "," http://amigo.geneontology.org/amigo/term/GO:0001568"," ITGAV  TYMP  GLI3  C5AR1  HSPB1"
