"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000442214145423268,12,3073,4.96387894565571,"GO:0009605 response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," IL1R1  CD74  FOXA2  SERPING1  TYMP  GLI3  FLNB  NUPR1  C5AR1  TXNIP  HSPB1  ITGAV"
0.000893206400772405,12,3602,4.23486951693504,"GO:0010646 regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010646"," CD74  GLI3  SOX2  C5AR1  HSPB1  IL1R1  BAIAP3  TYMP  ITGAV  NUPR1  MLF1  FOXA2"
0.000893206400772405,12,3615,4.21964038727524,"GO:0023051 regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023051"," CD74  GLI3  SOX2  C5AR1  HSPB1  IL1R1  BAIAP3  TYMP  ITGAV  NUPR1  MLF1  FOXA2"
0.00102183063960223,3,35,108.957142857143,"GO:1902624 positive regulation of neutrophil migration "," http://amigo.geneontology.org/amigo/term/GO:1902624"," CD74  IL1R1  C5AR1"
0.00143388577723444,13,4821,3.42774666390099,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," CD74  IL1R1  SOX2  TYMP  HSPB1  GLI3  FLNB  NUPR1  C5AR1  TXNIP  BAIAP3  ITGAV  FOXA2"
0.00167776613529591,3,47,81.1382978723404,"GO:1902622 regulation of neutrophil migration "," http://amigo.geneontology.org/amigo/term/GO:1902622"," CD74  IL1R1  C5AR1"
0.00172898712016538,6,672,11.3497023809524,"GO:0006935 chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0006935"," CD74  TYMP  GLI3  C5AR1  HSPB1  ITGAV"
0.00172898712016538,6,676,11.2825443786982,"GO:0042330 taxis "," http://amigo.geneontology.org/amigo/term/GO:0042330"," CD74  TYMP  GLI3  C5AR1  HSPB1  ITGAV"
0.00187511095352718,7,1089,8.17095194367922,"GO:0032101 regulation of response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0032101"," IL1R1  FOXA2  SERPING1  CD74  NUPR1  C5AR1  HSPB1"
0.00303377626128671,12,4552,3.35105448154657,"GO:0030154 cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030154"," FOXA2  SOX2  CD74  ITGAV  TXNIP  TYMP  PHGDH  GLI3  FLNB  NUPR1  MLF1  C5AR1"
0.00303377626128671,7,1237,7.19334411209917,"GO:0048646 anatomical structure formation involved in morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0048646"," ITGAV  SOX2  TYMP  GLI3  C5AR1  HSPB1  FOXA2"
0.00303377626128671,12,4576,3.33347902097902,"GO:0048869 cellular developmental process "," http://amigo.geneontology.org/amigo/term/GO:0048869"," FOXA2  SOX2  CD74  ITGAV  TXNIP  TYMP  PHGDH  GLI3  FLNB  NUPR1  MLF1  C5AR1"
0.00303377626128671,10,3024,4.20359347442681,"GO:0051239 regulation of multicellular organismal process "," http://amigo.geneontology.org/amigo/term/GO:0051239"," CD74  IL1R1  FOXA2  ITGAV  HSPB1  GLI3  SERPING1  NUPR1  C5AR1  TYMP"
0.00354890393150068,2,11,231.121212121212,"GO:0045060 negative thymic T cell selection "," http://amigo.geneontology.org/amigo/term/GO:0045060"," CD74  GLI3"
0.00384427265707474,4,249,20.4203480589023,"GO:0010001 glial cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0010001"," PHGDH  GLI3  C5AR1  SOX2"
0.00439976275679556,2,13,195.564102564103,"GO:0043383 negative T cell selection "," http://amigo.geneontology.org/amigo/term/GO:0043383"," CD74  GLI3"
0.0046347187937935,10,3269,3.88854899561538,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CD74  IL1R1  SOX2  GLI3  FLNB  C5AR1  TXNIP  BAIAP3  HSPB1  FOXA2"
