"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000352104704961879,6,569,18.5596863593349,"GO:0019221 cytokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0019221"," CD74  CXCL2  CCL2  CXCR4  BIRC3  TNFAIP3"
0.000352104704961879,2,3,1173.38461538462,"GO:0035691 macrophage migration inhibitory factor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0035691"," CD74  CXCR4"
0.000352104704961879,2,3,1173.38461538462,"GO:2000446 regulation of macrophage migration inhibitory factor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:2000446"," CD74  CXCR4"
0.0014118455481414,9,2990,5.29789040391047,"GO:0007166 cell surface receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007166"," CD74  LAMA3  CXCL2  CCL2  TNFAIP3  CXCR4  LGR5  COL1A2  BIRC3"
0.00145215958797188,6,935,11.2946112710819,"GO:0071345 cellular response to cytokine stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071345"," CD74  CXCL2  CCL2  CXCR4  BIRC3  TNFAIP3"
0.00168576997117434,7,1645,7.48968903436989,"GO:0009967 positive regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0009967"," CD74  CCL2  TNFAIP3  GADD45B  LGR5  CXCR4  BIRC3"
0.00168576997117434,7,1602,7.69072313454336,"GO:0016477 cell migration "," http://amigo.geneontology.org/amigo/term/GO:0016477"," LAMA3  CXCL2  CCL2  TNFAIP3  CXCR4  MMP7  CD74"
0.00168576997117434,4,272,25.8834841628959,"GO:0030595 leukocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0030595"," CXCL2  CCL2  CD74  CXCR4"
0.00168576997117434,6,1032,10.2330053667263,"GO:0034097 response to cytokine "," http://amigo.geneontology.org/amigo/term/GO:0034097"," CD74  CXCL2  CCL2  CXCR4  BIRC3  TNFAIP3"
0.00174099124017189,5,672,13.0958104395604,"GO:0006935 chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0006935"," LAMA3  CXCL2  CCL2  CXCR4  CD74"
0.00174099124017189,7,1830,6.73253467843632,"GO:0010647 positive regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010647"," CD74  CCL2  TNFAIP3  GADD45B  LGR5  CXCR4  BIRC3"
0.00174099124017189,7,1836,6.71053293112117,"GO:0023056 positive regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023056"," CD74  CCL2  TNFAIP3  GADD45B  LGR5  CXCR4  BIRC3"
0.00174099124017189,5,676,13.0183204369595,"GO:0042330 taxis "," http://amigo.geneontology.org/amigo/term/GO:0042330"," LAMA3  CXCL2  CCL2  CXCR4  CD74"
0.00174099124017189,7,1806,6.82200357781753,"GO:0048870 cell motility "," http://amigo.geneontology.org/amigo/term/GO:0048870"," LAMA3  CXCL2  CCL2  TNFAIP3  CXCR4  MMP7  CD74"
0.00174099124017189,7,1806,6.82200357781753,"GO:0051674 localization of cell "," http://amigo.geneontology.org/amigo/term/GO:0051674"," LAMA3  CXCL2  CCL2  TNFAIP3  CXCR4  MMP7  CD74"
0.00174099124017189,8,2609,5.39693958781732,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," CD74  CXCL2  CCL2  LGR5  TNFAIP3  CXCR4  COL1A2  BIRC3"
0.0018578835215063,3,106,49.8134978229318,"GO:0070098 chemokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0070098"," CXCL2  CCL2  CXCR4"
0.00212120719690972,3,115,45.9150501672241,"GO:1990868 response to chemokine "," http://amigo.geneontology.org/amigo/term/GO:1990868"," CXCL2  CCL2  CXCR4"
0.00212120719690972,3,115,45.9150501672241,"GO:1990869 cellular response to chemokine "," http://amigo.geneontology.org/amigo/term/GO:1990869"," CXCL2  CCL2  CXCR4"
0.00214208727449512,3,123,42.9287054409006,"GO:0030593 neutrophil chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0030593"," CXCL2  CCL2  CD74"
0.00214208727449512,8,2847,4.94577287833347,"GO:0035556 intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035556"," CD74  CCL2  CXCR4  GADD45B  TNFAIP3  COL1A2  BIRC3  RRAD"
0.00214208727449512,7,1992,6.18500926784059,"GO:0040011 locomotion "," http://amigo.geneontology.org/amigo/term/GO:0040011"," LAMA3  CXCL2  CCL2  TNFAIP3  CXCR4  MMP7  CD74"
0.00214208727449512,4,355,19.8318526543879,"GO:0060326 cell chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0060326"," CXCL2  CCL2  CXCR4  CD74"
0.00223390016259981,2,18,195.564102564103,"GO:0061043 regulation of vascular wound healing "," http://amigo.geneontology.org/amigo/term/GO:0061043"," CXCR4  TNFAIP3"
0.00294066283525839,2,21,167.626373626374,"GO:0070424 regulation of nucleotide-binding oligomerization domain containing signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0070424"," TNFAIP3  BIRC3"
0.00323003776685986,3,148,35.6772349272349,"GO:0071621 granulocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0071621"," CXCL2  CCL2  CD74"
0.00323003776685986,3,149,35.4377903975219,"GO:1990266 neutrophil migration "," http://amigo.geneontology.org/amigo/term/GO:1990266"," CXCL2  CCL2  CD74"
0.00355048116753669,7,2254,5.46607740086001,"GO:0006928 movement of cell or subcellular component "," http://amigo.geneontology.org/amigo/term/GO:0006928"," LAMA3  CXCL2  CCL2  TNFAIP3  CXCR4  MMP7  CD74"
0.00355048116753669,5,892,9.86590203518455,"GO:0006954 inflammatory response "," http://amigo.geneontology.org/amigo/term/GO:0006954"," CXCL2  CCL2  TNFAIP3  BIRC3  CXCR4"
0.00355048116753669,4,448,15.7149725274725,"GO:0050900 leukocyte migration "," http://amigo.geneontology.org/amigo/term/GO:0050900"," CXCL2  CCL2  CD74  CXCR4"
0.00366430482921025,2,26,135.390532544379,"GO:0070206 protein trimerization "," http://amigo.geneontology.org/amigo/term/GO:0070206"," CD74  COL1A2"
0.00383255031612342,2,27,130.376068376068,"GO:0061042 vascular wound healing "," http://amigo.geneontology.org/amigo/term/GO:0061042"," CXCR4  TNFAIP3"
0.00399460045150707,3,173,30.5215651400623,"GO:0001959 regulation of cytokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0001959"," CD74  CXCR4  TNFAIP3"
0.00399460045150707,8,3269,4.3073158105278,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CD74  CXCL2  CCL2  LGR5  TNFAIP3  CXCR4  COL1A2  BIRC3"
0.00408509211932265,8,3300,4.26685314685315,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CD74  CXCL2  CCL2  CXCR4  LGR5  TNFAIP3  COL1A2  BIRC3"
0.00410460607136571,3,178,29.6642178046672,"GO:0097530 granulocyte migration "," http://amigo.geneontology.org/amigo/term/GO:0097530"," CXCL2  CCL2  CD74"
0.00425425330133311,5,977,9.00755845996378,"GO:0030334 regulation of cell migration "," http://amigo.geneontology.org/amigo/term/GO:0030334"," CCL2  MMP7  CD74  LAMA3  CXCR4"
0.00425425330133311,6,1627,6.49075693820623,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," CD74  BIRC3  GADD45B  CCL2  TNFAIP3  CXCR4"
0.00425425330133311,7,2427,5.07644765617572,"GO:0048584 positive regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048584"," CD74  CCL2  TNFAIP3  GADD45B  LGR5  CXCR4  BIRC3"
0.00425425330133311,3,185,28.5417879417879,"GO:0060759 regulation of response to cytokine stimulus "," http://amigo.geneontology.org/amigo/term/GO:0060759"," CD74  CXCR4  TNFAIP3"
0.00438409722611434,2,33,106.671328671329,"GO:0001782 B cell homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0001782"," CD74  TNFAIP3"
0.00438409722611434,2,33,106.671328671329,"GO:0070423 nucleotide-binding oligomerization domain containing signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0070423"," TNFAIP3  BIRC3"
0.00454831732845635,2,34,103.533936651584,"GO:0035872 nucleotide-binding domain leucine rich repeat containing receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0035872"," TNFAIP3  BIRC3"
0.00484855141949087,5,1038,8.47821253890618,"GO:2000145 regulation of cell motility "," http://amigo.geneontology.org/amigo/term/GO:2000145"," CCL2  MMP7  CD74  LAMA3  CXCR4"
0.00487759799399203,2,36,97.7820512820513,"GO:0060055 angiogenesis involved in wound healing "," http://amigo.geneontology.org/amigo/term/GO:0060055"," CXCR4  TNFAIP3"
0.0050379152801423,6,1731,6.10078656179176,"GO:0043207 response to external biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0043207"," CXCL2  CCL2  CD74  TNFAIP3  BIRC3  CXCR4"
