"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.13209154640812e-06,9,772,14.0393373329697,"GO:0008285 negative regulation of cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0008285"," SFRP1  TNFAIP3  CDKN1A  MYC  THBS1  APP  SFRP4  FOXJ1  CCL2"
1.04441402275748e-05,10,1222,9.85485399259195,"GO:0044092 negative regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0044092"," SFRP4  TNFAIP3  THBS1  BIRC3  GADD45B  SFRP1  CDKN1A  FOXJ1  APP  RRAD"
1.40603308875121e-05,13,2847,5.49891852919971,"GO:0035556 intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035556"," CCL2  CXCR4  GADD45B  TNFAIP3  CDKN1A  MYC  THBS1  COL1A2  SFRP1  APP  CD22  BIRC3  RRAD"
3.62100643874686e-05,5,136,44.2743808049536,"GO:0050864 regulation of B cell activation "," http://amigo.geneontology.org/amigo/term/GO:0050864"," CD22  SFRP1  TNFAIP3  CDKN1A  FOXJ1"
3.90273425337482e-05,7,533,15.8158388466476,"GO:0002683 negative regulation of immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002683"," CD22  CCL2  THBS1  SFRP1  TNFAIP3  FOXJ1  MYC"
3.90273425337482e-05,11,2065,6.41496113164267,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," BIRC3  GADD45B  SFRP1  SFRP4  CCL2  TNFAIP3  MYC  THBS1  CDKN1A  APP  CXCR4"
3.90273425337482e-05,10,1645,7.32074868021117,"GO:0009967 positive regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0009967"," CCL2  TNFAIP3  GADD45B  SFRP1  MYC  THBS1  SFRP4  APP  CXCR4  BIRC3"
3.90273425337482e-05,11,2127,6.22797119738698,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," BIRC3  GADD45B  SFRP1  SFRP4  CCL2  TNFAIP3  MYC  THBS1  CXCR4  CDKN1A  APP"
3.90273425337482e-05,10,1627,7.40174036812991,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," BIRC3  GADD45B  SFRP1  SFRP4  CCL2  TNFAIP3  MYC  THBS1  CXCR4  CDKN1A"
4.62608015167998e-05,7,576,14.6351425438596,"GO:0043068 positive regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043068"," GADD45B  SFRP1  SFRP4  MYC  THBS1  CDKN1A  CCL2"
5.26340342749252e-05,10,1735,6.94099802821174,"GO:0002682 regulation of immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002682"," CD22  CCL2  TNFAIP3  THBS1  SFRP1  CDKN1A  FOXJ1  MYC  APP  BIRC3"
6.1390687240517e-05,11,2320,5.70986842105263,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," BIRC3  GADD45B  SFRP1  SFRP4  CCL2  TNFAIP3  MYC  THBS1  CXCR4  CDKN1A  APP"
6.1390687240517e-05,10,1830,6.58067299396031,"GO:0010647 positive regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010647"," CCL2  TNFAIP3  GADD45B  SFRP1  MYC  THBS1  SFRP4  APP  CXCR4  BIRC3"
6.1390687240517e-05,10,1810,6.6533876126781,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," BIRC3  GADD45B  SFRP1  SFRP4  CCL2  TNFAIP3  MYC  THBS1  CXCR4  CDKN1A"
6.1390687240517e-05,10,1836,6.55916752665979,"GO:0023056 positive regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023056"," CCL2  TNFAIP3  GADD45B  SFRP1  MYC  THBS1  SFRP4  APP  CXCR4  BIRC3"
6.1390687240517e-05,10,1835,6.56274200487595,"GO:0042127 regulation of cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0042127"," CD22  SFRP1  TNFAIP3  CDKN1A  MYC  THBS1  APP  SFRP4  FOXJ1  CCL2"
6.1514210572436e-05,7,650,12.968987854251,"GO:0010942 positive regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010942"," GADD45B  SFRP1  SFRP4  MYC  THBS1  CDKN1A  CCL2"
