"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00416083833978168,10,2086,5.48441994247363,"GO:0009888 tissue development "," http://amigo.geneontology.org/amigo/term/GO:0009888"," LAMC2  KRT19  DSP  FOXJ1  TXNIP  PHGDH  GLI3  NUPR1  LGALS3  FOXA2"
0.00683037137845336,13,4552,3.26727811950791,"GO:0030154 cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030154"," LAMC2  FOXA2  KRT19  DSP  FOXJ1  TXNIP  TYMP  TCF7  PHGDH  GLI3  LGALS3  NUPR1  MLF1"
0.00683037137845336,13,4576,3.25014204545455,"GO:0048869 cellular developmental process "," http://amigo.geneontology.org/amigo/term/GO:0048869"," LAMC2  FOXA2  KRT19  DSP  FOXJ1  TXNIP  TYMP  TCF7  PHGDH  GLI3  LGALS3  NUPR1  MLF1"
0.0174364001431416,7,1222,6.55347790507365,"GO:0044092 negative regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0044092"," IFI6  LGALS3  PRDX5  FOXJ1  TXNIP  FOXA2  NUPR1"
0.0179209035884806,7,1271,6.30082612116444,"GO:0060429 epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," KRT19  DSP  FOXJ1  TXNIP  PHGDH  GLI3  LGALS3"
0.0214933213021291,11,3774,3.33453895071542,"GO:0048513 animal organ development "," http://amigo.geneontology.org/amigo/term/GO:0048513"," LAMC2  DSP  FOXA2  FOXJ1  TXNIP  TCF7  PHGDH  GLI3  KRT19  NUPR1  MLF1"
0.0283624952100319,6,1081,6.34995374653099,"GO:0003006 developmental process involved in reproduction "," http://amigo.geneontology.org/amigo/term/GO:0003006"," GLI3  GPX4  KRT19  NUPR1  FOXJ1  SPA17"
0.0283624952100319,8,2127,4.30296191819464,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," IFI6  LGALS3  GLI3  PRDX5  PPP2R2B  GPX4  NUPR1  TXNIP"
0.0283624952100319,9,2748,3.74688864628821,"GO:0031324 negative regulation of cellular metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0031324"," IFI6  LGALS3  GLI3  PRDX5  TCF7  FOXJ1  NUPR1  TXNIP  FOXA2"
0.0283624952100319,12,4821,2.84766645924082,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," LAMC2  PRDX5  LGALS3  TCF7  TYMP  GLI3  GPX4  NUPR1  TXNIP  CTSS  KRT19  FOXA2"
0.0283624952100319,6,987,6.95471124620061,"GO:0043069 negative regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043069"," IFI6  LGALS3  GLI3  PRDX5  GPX4  NUPR1"
0.0283624952100319,10,3356,3.40896901072706,"GO:0065009 regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0065009"," IFI6  LGALS3  GLI3  CTSS  PRDX5  FOXJ1  PPP2R2B  NUPR1  TXNIP  FOXA2"
0.028536577568114,7,1627,4.92215734480639,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," IFI6  LGALS3  GLI3  PRDX5  GPX4  NUPR1  TXNIP"
0.028536577568114,3,154,22.2866883116883,"GO:0050868 negative regulation of T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0050868"," GLI3  FOXJ1  LGALS3"
0.028536577568114,6,1112,6.17293165467626,"GO:0060548 negative regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0060548"," IFI6  LGALS3  GLI3  PRDX5  GPX4  NUPR1"
0.0320199020893475,5,756,7.56646825396825,"GO:0030855 epithelial cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030855"," KRT19  DSP  FOXJ1  TXNIP  LGALS3"
0.0320199020893475,3,165,20.8009090909091,"GO:1903038 negative regulation of leukocyte cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:1903038"," GLI3  FOXJ1  LGALS3"
0.034416437206519,8,2320,3.945,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," IFI6  LGALS3  GLI3  PRDX5  PPP2R2B  GPX4  NUPR1  TXNIP"
0.0371506679840055,9,3073,3.35061828831761,"GO:0009605 response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," LAMC2  LGALS3  FOXA2  TYMP  GLI3  IFI6  GPX4  NUPR1  TXNIP"
0.0371506679840055,7,1810,4.42450276243094,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," IFI6  LGALS3  GLI3  PRDX5  GPX4  NUPR1  TXNIP"
0.0371506679840055,5,835,6.85059880239521,"GO:0043086 negative regulation of catalytic activity "," http://amigo.geneontology.org/amigo/term/GO:0043086"," IFI6  LGALS3  PRDX5  TXNIP  FOXA2"
0.0371506679840055,3,196,17.5109693877551,"GO:0043433 negative regulation of DNA-binding transcription factor activity "," http://amigo.geneontology.org/amigo/term/GO:0043433"," FOXJ1  FOXA2  NUPR1"
0.0371506679840055,3,198,17.3340909090909,"GO:0045580 regulation of T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045580"," GLI3  FOXJ1  TCF7"
0.0371506679840055,11,4617,2.72569850552307,"GO:0048731 system development "," http://amigo.geneontology.org/amigo/term/GO:0048731"," LAMC2  FOXA2  FOXJ1  TYMP  TCF7  PHGDH  DSP  GLI3  KRT19  NUPR1  MLF1"
0.0387721214292138,2,47,48.6829787234043,"GO:0010677 negative regulation of cellular carbohydrate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0010677"," NUPR1  FOXA2"
0.0387721214292138,4,488,9.37745901639344,"GO:0050863 regulation of T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0050863"," GLI3  FOXJ1  LGALS3  TCF7"
0.0387721214292138,3,204,16.8242647058824,"GO:0051250 negative regulation of lymphocyte activation "," http://amigo.geneontology.org/amigo/term/GO:0051250"," GLI3  FOXJ1  LGALS3"
0.039563064410824,9,3283,3.13629302467256,"GO:0009892 negative regulation of metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009892"," IFI6  LGALS3  GLI3  PRDX5  TCF7  FOXJ1  NUPR1  TXNIP  FOXA2"
0.039563064410824,3,229,14.9875545851528,"GO:0022408 negative regulation of cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0022408"," GLI3  FOXJ1  LGALS3"
0.039563064410824,2,49,46.6959183673469,"GO:0045581 negative regulation of T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045581"," GLI3  FOXJ1"
0.039563064410824,3,229,14.9875545851528,"GO:0045619 regulation of lymphocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045619"," GLI3  FOXJ1  TCF7"
0.039563064410824,2,52,44.0019230769231,"GO:0045912 negative regulation of carbohydrate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0045912"," NUPR1  FOXA2"
0.039563064410824,8,2582,3.54469403563129,"GO:0050790 regulation of catalytic activity "," http://amigo.geneontology.org/amigo/term/GO:0050790"," IFI6  LGALS3  PRDX5  FOXJ1  PPP2R2B  NUPR1  TXNIP  FOXA2"
0.039563064410824,4,514,8.90311284046693,"GO:0051090 regulation of DNA-binding transcription factor activity "," http://amigo.geneontology.org/amigo/term/GO:0051090"," GLI3  FOXJ1  FOXA2  NUPR1"
0.039563064410824,8,2613,3.50264064293915,"GO:0051172 negative regulation of nitrogen compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051172"," IFI6  LGALS3  GLI3  PRDX5  TCF7  FOXJ1  TXNIP  NUPR1"
0.0406607844969889,3,235,14.6048936170213,"GO:0002695 negative regulation of leukocyte activation "," http://amigo.geneontology.org/amigo/term/GO:0002695"," GLI3  FOXJ1  LGALS3"
0.0423449905748163,7,2065,3.87813559322034,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," IFI6  LGALS3  GLI3  PRDX5  PPP2R2B  NUPR1  TXNIP"
0.0423449905748163,3,250,13.7286,"GO:0009636 response to toxic substance "," http://amigo.geneontology.org/amigo/term/GO:0009636"," PRDX5  GPX4  NUPR1"
0.0423449905748163,5,964,5.93386929460581,"GO:0043066 negative regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0043066"," IFI6  LGALS3  GLI3  PRDX5  NUPR1"
0.0423449905748163,2,59,38.7813559322034,"GO:0045620 negative regulation of lymphocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045620"," GLI3  FOXJ1"
0.0423449905748163,2,60,38.135,"GO:0061005 cell differentiation involved in kidney development "," http://amigo.geneontology.org/amigo/term/GO:0061005"," GLI3  FOXJ1"
0.0423449905748163,6,1483,4.62865812542144,"GO:2000026 regulation of multicellular organismal development "," http://amigo.geneontology.org/amigo/term/GO:2000026"," FOXJ1  GLI3  NUPR1  TYMP  TCF7  FOXA2"
