"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.58736792487712e-05,14,2086,5.90629839958699,"GO:0009888 tissue development "," http://amigo.geneontology.org/amigo/term/GO:0009888"," LAMC2  KRT19  DSP  FOXJ1  TXNIP  ESR1  PHGDH  GLI3  PAX8  COL1A2  NUPR1  PLCB1  LGALS3  FOXA2"
0.000568802951684332,10,1271,6.92398474853235,"GO:0060429 epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," KRT19  DSP  FOXJ1  TXNIP  ESR1  PHGDH  GLI3  PAX8  PLCB1  LGALS3"
0.000755566558978496,8,756,9.31257631257631,"GO:0030855 epithelial cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030855"," KRT19  DSP  FOXJ1  TXNIP  ESR1  PAX8  PLCB1  LGALS3"
0.000986314441630334,15,3774,3.49776813012107,"GO:0048513 animal organ development "," http://amigo.geneontology.org/amigo/term/GO:0048513"," LAMC2  DSP  FOXA2  FOXJ1  TXNIP  TCF7  ESR1  PHGDH  GLI3  PAX8  COL1A2  KRT19  NUPR1  PLCB1  MLF1"
0.00120520191045377,16,4552,3.09328105988914,"GO:0030154 cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030154"," LAMC2  FOXA2  KRT19  DSP  FOXJ1  TXNIP  TYMP  TCF7  ESR1  PHGDH  GLI3  PAX8  LGALS3  NUPR1  MLF1  PLCB1"
0.00120520191045377,9,1222,6.48146166435855,"GO:0044092 negative regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0044092"," IFI6  SERPING1  LGALS3  ESR1  PRDX5  FOXJ1  TXNIP  FOXA2  NUPR1"
0.00120520191045377,16,4576,3.07705755782679,"GO:0048869 cellular developmental process "," http://amigo.geneontology.org/amigo/term/GO:0048869"," LAMC2  FOXA2  KRT19  DSP  FOXJ1  TXNIP  TYMP  TCF7  ESR1  PHGDH  GLI3  PAX8  LGALS3  NUPR1  MLF1  PLCB1"
0.00196834639357529,16,4821,2.9206835479393,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," LAMC2  ESR1  PRDX5  LGALS3  TCF7  PAX8  COL1A2  PLCB1  TYMP  GLI3  GPX4  NUPR1  TXNIP  CTSS  KRT19  FOXA2"
0.00333331408257308,12,2748,3.84296271414175,"GO:0031324 negative regulation of cellular metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0031324"," IFI6  SERPING1  LGALS3  GLI3  PRDX5  TCF7  FOXJ1  NUPR1  PLCB1  TXNIP  ESR1  FOXA2"
0.00404062110494237,13,3356,3.40896901072706,"GO:0065009 regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0065009"," IFI6  SERPING1  LGALS3  ESR1  GLI3  CTSS  PRDX5  FOXJ1  PPP2R2B  NUPR1  PLCB1  TXNIP  FOXA2"
0.00471057018188557,15,4617,2.85912430649273,"GO:0048731 system development "," http://amigo.geneontology.org/amigo/term/GO:0048731"," LAMC2  FOXA2  FOXJ1  TYMP  TCF7  ESR1  PHGDH  DSP  GLI3  PAX8  KRT19  NUPR1  PLCB1  COL1A2  MLF1"
0.00614970943673305,7,898,6.85998800753812,"GO:0009725 response to hormone "," http://amigo.geneontology.org/amigo/term/GO:0009725"," ESR1  PAX8  GLI3  PLCB1  TXNIP  CTSS  KRT19"
0.00614970943673305,9,1627,4.86806770365467,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," IFI6  LGALS3  ESR1  GLI3  PAX8  PRDX5  GPX4  NUPR1  TXNIP"
0.00614970943673305,3,60,44.0019230769231,"GO:0061005 cell differentiation involved in kidney development "," http://amigo.geneontology.org/amigo/term/GO:0061005"," GLI3  PAX8  FOXJ1"
0.00668970411133674,10,2127,4.13746338287946,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," IFI6  LGALS3  ESR1  GLI3  PAX8  PRDX5  PPP2R2B  GPX4  NUPR1  TXNIP"
0.00668970411133674,11,2582,3.74919561461002,"GO:0050790 regulation of catalytic activity "," http://amigo.geneontology.org/amigo/term/GO:0050790"," IFI6  SERPING1  LGALS3  PRDX5  FOXJ1  PPP2R2B  NUPR1  PLCB1  TXNIP  ESR1  FOXA2"
0.00668970411133674,11,2613,3.70471606464718,"GO:0051172 negative regulation of nitrogen compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051172"," IFI6  SERPING1  LGALS3  GLI3  PRDX5  TCF7  FOXJ1  PLCB1  TXNIP  ESR1  NUPR1"
0.00672703515375909,4,196,17.9599686028257,"GO:0043433 negative regulation of DNA-binding transcription factor activity "," http://amigo.geneontology.org/amigo/term/GO:0043433"," ESR1  FOXJ1  FOXA2  NUPR1"
0.00697813228277262,3,72,36.6682692307692,"GO:0043627 response to estrogen "," http://amigo.geneontology.org/amigo/term/GO:0043627"," ESR1  GLI3  KRT19"
0.0078226000116437,7,987,6.24140752864157,"GO:0043069 negative regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043069"," IFI6  LGALS3  GLI3  PAX8  PRDX5  GPX4  NUPR1"
0.00863384461924249,12,3283,3.21671079453595,"GO:0009892 negative regulation of metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009892"," IFI6  SERPING1  LGALS3  ESR1  GLI3  PRDX5  TCF7  FOXJ1  NUPR1  PLCB1  TXNIP  FOXA2"
0.00878681706248199,9,1810,4.37588185295368,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," IFI6  LGALS3  ESR1  GLI3  PAX8  PRDX5  GPX4  NUPR1  TXNIP"
0.0101423489378056,10,2320,3.79326923076923,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," IFI6  LGALS3  ESR1  GLI3  PAX8  PRDX5  PPP2R2B  GPX4  NUPR1  TXNIP"
0.0113082963593975,3,93,28.3883374689826,"GO:0001656 metanephros development "," http://amigo.geneontology.org/amigo/term/GO:0001656"," GLI3  PAX8  FOXJ1"
0.0113082963593975,3,101,26.1397562833206,"GO:0001657 ureteric bud development "," http://amigo.geneontology.org/amigo/term/GO:0001657"," GLI3  PAX8  FOXJ1"
0.0113082963593975,2,18,97.7820512820513,"GO:0002921 negative regulation of humoral immune response "," http://amigo.geneontology.org/amigo/term/GO:0002921"," SERPING1  FOXJ1"
