"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000100874547495441,8,1594,9.56963613550815,"GO:0042981 regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0042981"," EYA1  HIF1A  SFRP1  HSPB1  GLI3  CDKN1B  NUPR1  TXNIP"
0.000100874547495441,7,964,13.8456950207469,"GO:0043066 negative regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0043066"," EYA1  HIF1A  SFRP1  HSPB1  GLI3  CDKN1B  NUPR1"
0.000100874547495441,8,1627,9.37553779963122,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," EYA1  HIF1A  SFRP1  HSPB1  GLI3  CDKN1B  NUPR1  TXNIP"
0.000100874547495441,7,987,13.5230496453901,"GO:0043069 negative regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043069"," EYA1  HIF1A  SFRP1  HSPB1  GLI3  CDKN1B  NUPR1"
0.000131924817764791,7,1112,12.0029226618705,"GO:0060548 negative regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0060548"," EYA1  HIF1A  SFRP1  HSPB1  GLI3  CDKN1B  NUPR1"
0.000152741956483043,7,1194,11.1786013400335,"GO:0009628 response to abiotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009628"," HIF1A  HSPB1  EYA1  CTSS  SFRP1  CDKN1B  TXNIP"
0.000152741956483043,8,1810,8.42762430939227,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," EYA1  HIF1A  SFRP1  CDKN1B  HSPB1  GLI3  NUPR1  TXNIP"
0.000176066104946361,5,385,24.762987012987,"GO:0050678 regulation of epithelial cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0050678"," HIF1A  SFRP1  EYA1  CDKN1B  NUPR1"
0.000176066104946361,7,1271,10.5013768686074,"GO:0060429 epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," TXNIP  PHGDH  HIF1A  EYA1  SFRP1  GLI3  CDKN1B"
0.000176066104946361,5,395,24.1360759493671,"GO:2001233 regulation of apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:2001233"," EYA1  HIF1A  SFRP1  HSPB1  NUPR1"
0.000202765473321952,4,169,45.1301775147929,"GO:0021915 neural tube development "," http://amigo.geneontology.org/amigo/term/GO:0021915"," PHGDH  HIF1A  SFRP1  GLI3"
0.000206539116412118,8,2065,7.38692493946731,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," EYA1  HIF1A  SFRP1  HSPB1  GLI3  CDKN1B  NUPR1  TXNIP"
0.000206539116412118,8,2086,7.31255992329818,"GO:0009888 tissue development "," http://amigo.geneontology.org/amigo/term/GO:0009888"," SFRP1  TXNIP  PHGDH  HIF1A  EYA1  GLI3  CDKN1B  NUPR1"
0.000206539116412118,8,2127,7.17160319699107,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," EYA1  HIF1A  SFRP1  CDKN1B  HSPB1  GLI3  NUPR1  TXNIP"
0.000206539116412118,3,51,112.161764705882,"GO:0048546 digestive tract morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0048546"," HIF1A  SFRP1  GLI3"
0.000206539116412118,5,451,21.1391352549889,"GO:0048608 reproductive structure development "," http://amigo.geneontology.org/amigo/term/GO:0048608"," HIF1A  SFRP1  GLI3  CDKN1B  NUPR1"
0.000206539116412118,5,455,20.9532967032967,"GO:0050673 epithelial cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0050673"," HIF1A  SFRP1  EYA1  CDKN1B  NUPR1"
0.000206539116412118,5,455,20.9532967032967,"GO:0061458 reproductive system development "," http://amigo.geneontology.org/amigo/term/GO:0061458"," HIF1A  SFRP1  GLI3  CDKN1B  NUPR1"
0.000207587038982832,3,52,110.004807692308,"GO:0030850 prostate gland development "," http://amigo.geneontology.org/amigo/term/GO:0030850"," SFRP1  GLI3  CDKN1B"
0.00030857870539157,8,2320,6.575,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," EYA1  HIF1A  SFRP1  CDKN1B  HSPB1  GLI3  NUPR1  TXNIP"
0.000551391182749147,2,8,476.6875,"GO:0060872 semicircular canal development "," http://amigo.geneontology.org/amigo/term/GO:0060872"," EYA1  GLI3"
0.000737273613637691,6,1123,10.1874443455031,"GO:0035295 tube development "," http://amigo.geneontology.org/amigo/term/GO:0035295"," HIF1A  PHGDH  EYA1  SFRP1  GLI3  HSPB1"
0.000765492942914621,7,1835,7.27370572207085,"GO:0042127 regulation of cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0042127"," CDKN1B  NUPR1  HIF1A  SFRP1  EYA1  GLI3  TXNIP"
0.000765492942914621,6,1150,9.94826086956522,"GO:0072359 circulatory system development "," http://amigo.geneontology.org/amigo/term/GO:0072359"," HIF1A  EYA1  GLI3  CDKN1B  HSPB1  SFRP1"
0.000765492942914621,2,10,381.35,"GO:2000271 positive regulation of fibroblast apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:2000271"," SFRP1  NUPR1"
0.000801791900811614,5,655,14.5553435114504,"GO:0097190 apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097190"," EYA1  HIF1A  SFRP1  HSPB1  NUPR1"
0.000925612610308297,5,680,14.0202205882353,"GO:0043009 chordate embryonic development "," http://amigo.geneontology.org/amigo/term/GO:0043009"," PHGDH  HIF1A  EYA1  SFRP1  GLI3"
0.000973991732962772,3,101,56.6361386138614,"GO:0001657 ureteric bud development "," http://amigo.geneontology.org/amigo/term/GO:0001657"," EYA1  SFRP1  GLI3"
0.000973991732962772,5,702,13.5808404558405,"GO:0009792 embryo development ending in birth or egg hatching "," http://amigo.geneontology.org/amigo/term/GO:0009792"," PHGDH  HIF1A  EYA1  SFRP1  GLI3"
0.000973991732962772,3,102,56.0808823529412,"GO:0072163 mesonephric epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0072163"," EYA1  SFRP1  GLI3"
0.000973991732962772,3,102,56.0808823529412,"GO:0072164 mesonephric tubule development "," http://amigo.geneontology.org/amigo/term/GO:0072164"," EYA1  SFRP1  GLI3"
0.00105891364305818,3,106,53.9646226415094,"GO:0001823 mesonephros development "," http://amigo.geneontology.org/amigo/term/GO:0001823"," EYA1  SFRP1  GLI3"
0.00109541220534247,5,734,12.9887602179837,"GO:0001568 blood vessel development "," http://amigo.geneontology.org/amigo/term/GO:0001568"," HIF1A  EYA1  GLI3  HSPB1  SFRP1"
0.00124874965941785,4,356,21.4241573033708,"GO:0060562 epithelial tube morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0060562"," HIF1A  EYA1  SFRP1  GLI3"
0.00126060631866596,5,765,12.4624183006536,"GO:0001944 vasculature development "," http://amigo.geneontology.org/amigo/term/GO:0001944"," HIF1A  EYA1  GLI3  HSPB1  SFRP1"
0.00136228631409866,5,782,12.1914961636829,"GO:0080135 regulation of cellular response to stress "," http://amigo.geneontology.org/amigo/term/GO:0080135"," EYA1  HIF1A  SFRP1  HSPB1  NUPR1"
0.00136681241265061,4,373,20.4477211796247,"GO:0001655 urogenital system development "," http://amigo.geneontology.org/amigo/term/GO:0001655"," EYA1  SFRP1  GLI3  CDKN1B"
0.00136681241265061,7,2143,6.22830144657023,"GO:0008283 cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0008283"," CDKN1B  NUPR1  HIF1A  SFRP1  EYA1  GLI3  TXNIP"
0.00136681241265061,3,123,46.5060975609756,"GO:0032355 response to estradiol "," http://amigo.geneontology.org/amigo/term/GO:0032355"," CDKN1B  TXNIP  SFRP1"
0.00140236459768125,2,17,224.323529411765,"GO:0061469 regulation of type B pancreatic cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0061469"," SFRP1  NUPR1"
0.00143550009243493,4,387,19.7080103359173,"GO:0042326 negative regulation of phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0042326"," CDKN1B  SFRP1  HSPB1  NUPR1"
0.0016392929024582,2,19,200.710526315789,"GO:1902176 negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:1902176"," HIF1A  HSPB1"
0.0016392929024582,2,19,200.710526315789,"GO:2000269 regulation of fibroblast apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:2000269"," SFRP1  NUPR1"
0.00176659860499036,3,141,40.5691489361702,"GO:0048565 digestive tract development "," http://amigo.geneontology.org/amigo/term/GO:0048565"," HIF1A  SFRP1  GLI3"
0.00176659860499036,6,1483,7.71443020903574,"GO:2000026 regulation of multicellular organismal development "," http://amigo.geneontology.org/amigo/term/GO:2000026"," HIF1A  SFRP1  GLI3  CDKN1B  NUPR1  HSPB1"
0.00184076023376487,3,145,39.45,"GO:0050680 negative regulation of epithelial cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0050680"," SFRP1  CDKN1B  NUPR1"
0.00184076023376487,2,21,181.595238095238,"GO:0070242 thymocyte apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0070242"," HIF1A  GLI3"
0.00191198353297876,5,898,10.6166481069042,"GO:0009725 response to hormone "," http://amigo.geneontology.org/amigo/term/GO:0009725"," SFRP1  GLI3  CDKN1B  TXNIP  CTSS"
0.00191198353297876,5,902,10.5695676274945,"GO:0035239 tube morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0035239"," HIF1A  EYA1  SFRP1  GLI3  HSPB1"
0.00191198353297876,3,152,37.6332236842105,"GO:0055123 digestive system development "," http://amigo.geneontology.org/amigo/term/GO:0055123"," HIF1A  SFRP1  GLI3"
0.00191198353297876,8,3356,4.54529201430274,"GO:0065009 regulation of molecular function "," http://amigo.geneontology.org/amigo/term/GO:0065009"," CDKN1B  GLI3  CTSS  HIF1A  SFRP1  HSPB1  NUPR1  TXNIP"
