"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.27491569667848e-05,10,1594,8.9715338770389,"GO:0042981 regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0042981"," CD74  BIRC3  TNFSF10  TNFRSF10C  GADD45B  CCL2  ID1  RHOB  CEBPB  ATF3"
1.27491569667848e-05,10,1627,8.78956668715427,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," CD74  BIRC3  TNFSF10  TNFRSF10C  GADD45B  CCL2  ID1  RHOB  CEBPB  ATF3"
2.36183416683808e-05,10,1810,7.90089779005525,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," CD74  BIRC3  TNFSF10  TNFRSF10C  GADD45B  CCL2  ID1  RHOB  CEBPB  ATF3"
6.21679050131332e-05,10,2065,6.92524213075061,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," CD74  BIRC3  TNFSF10  TNFRSF10C  GADD45B  CCL2  ID1  RHOB  CEBPB  ATF3"
6.58314928901404e-05,10,2127,6.72337799717913,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," CD74  BIRC3  TNFSF10  TNFRSF10C  GADD45B  CCL2  ID1  RHOB  CEBPB  ATF3"
8.86528828550038e-05,9,1645,7.82405015197568,"GO:0009967 positive regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0009967"," CD74  CCL2  TNFSF10  GDF15  GADD45B  HES1  ASXL1  ATF3  BIRC3"
0.000106771492131967,10,2320,6.1640625,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," CD74  BIRC3  TNFSF10  TNFRSF10C  GADD45B  CCL2  ID1  RHOB  CEBPB  ATF3"
0.000112879101687117,9,1830,7.03309426229508,"GO:0010647 positive regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010647"," CD74  CCL2  TNFSF10  GDF15  GADD45B  HES1  ASXL1  ATF3  BIRC3"
0.000112879101687117,9,1836,7.01011029411765,"GO:0023056 positive regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023056"," CD74  CCL2  TNFSF10  GDF15  GADD45B  HES1  ASXL1  ATF3  BIRC3"
0.000112879101687117,10,2427,5.89230531520396,"GO:0048584 positive regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048584"," CD74  CCL2  TNFSF10  GDF15  GADD45B  HES1  ASXL1  CEBPB  ATF3  BIRC3"
0.000112879101687117,9,1752,7.34621147260274,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," CXCL2  CCL2  RHOB  HES1  ID1  GDF15  STC1  ASXL1  CEBPB"
0.000112879101687117,8,1272,8.99410377358491,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  CCL2  RHOB  HES1  ID1  GDF15  STC1  CEBPB"
0.000122778242998255,11,3269,4.81207938207403,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CD74  CXCL2  CCL2  GDF15  HES1  ID1  STC1  ATF3  ASXL1  CEBPB  BIRC3"
0.000125604266238672,11,3300,4.766875,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CD74  CXCL2  CCL2  GDF15  RHOB  HES1  ID1  STC1  ATF3  CEBPB  BIRC3"
0.000137653224055137,6,563,15.2404529307282,"GO:0043065 positive regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0043065"," TNFSF10  TNFRSF10C  GADD45B  RHOB  CCL2  ATF3"
0.000138683129538496,6,576,14.896484375,"GO:0043068 positive regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043068"," TNFSF10  TNFRSF10C  GADD45B  RHOB  CCL2  ATF3"
0.000138683129538496,10,2609,5.48126676887696,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," CD74  CXCL2  CCL2  GDF15  HES1  ID1  STC1  ATF3  CEBPB  BIRC3"
