"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0118291732028338,4,619,18.4822294022617,"GO:0009611 response to wounding "," http://amigo.geneontology.org/amigo/term/GO:0009611"," HSPB1  GNAS  SOD1  CD44"
0.0118291732028338,2,29,197.25,"GO:1902175 regulation of oxidative stress-induced intrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:1902175"," HSPB1  SOD1"
0.0118291732028338,3,178,48.2043539325843,"GO:2001242 regulation of intrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:2001242"," CD44  HSPB1  SOD1"
0.0191703569676696,2,50,114.405,"GO:0008089 anterograde axonal transport "," http://amigo.geneontology.org/amigo/term/GO:0008089"," SOD1  HSPB1"
0.0191703569676696,2,45,127.116666666667,"GO:0008631 intrinsic apoptotic signaling pathway in response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:0008631"," HSPB1  SOD1"
0.0191703569676696,3,317,27.067429022082,"GO:0097193 intrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097193"," CD44  HSPB1  SOD1"
0.0216568908079861,4,1280,8.937890625,"GO:0001775 cell activation "," http://amigo.geneontology.org/amigo/term/GO:0001775"," HSPB1  CD44  GNAS  SOD1"
0.0216568908079861,2,82,69.7591463414634,"GO:0001895 retina homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0001895"," HSPB1  SOD1"
0.0216568908079861,3,476,18.0259978991597,"GO:0006979 response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:0006979"," SOD1  HSPB1  TXNIP"
0.0216568908079861,2,81,70.6203703703704,"GO:0008088 axo-dendritic transport "," http://amigo.geneontology.org/amigo/term/GO:0008088"," SOD1  HSPB1"
0.0216568908079861,3,384,22.3447265625,"GO:0008544 epidermis development "," http://amigo.geneontology.org/amigo/term/GO:0008544"," GNAS  TXNIP  SOD1"
0.0216568908079861,2,104,55.0024038461538,"GO:0034109 homotypic cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0034109"," HSPB1  GNAS"
0.0216568908079861,2,106,53.9646226415094,"GO:0036473 cell death in response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:0036473"," HSPB1  SOD1"
0.0216568908079861,2,68,84.1213235294118,"GO:0040014 regulation of multicellular organism growth "," http://amigo.geneontology.org/amigo/term/GO:0040014"," SOD1  GNAS"
0.0216568908079861,3,475,18.0639473684211,"GO:0042060 wound healing "," http://amigo.geneontology.org/amigo/term/GO:0042060"," HSPB1  GNAS  CD44"
0.0216568908079861,4,1271,9.00118017309205,"GO:0060429 epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," GNAS  TXNIP  SOD1  CD44"
0.0216568908079861,2,79,72.4082278481013,"GO:0070527 platelet aggregation "," http://amigo.geneontology.org/amigo/term/GO:0070527"," HSPB1  GNAS"
0.0216568908079861,2,67,85.3768656716418,"GO:0098930 axonal transport "," http://amigo.geneontology.org/amigo/term/GO:0098930"," SOD1  HSPB1"
0.0216568908079861,2,98,58.3698979591837,"GO:1900407 regulation of cellular response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:1900407"," HSPB1  SOD1"
0.0216568908079861,2,108,52.9652777777778,"GO:1902882 regulation of response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:1902882"," HSPB1  SOD1"
0.0216568908079861,2,86,66.5145348837209,"GO:1903201 regulation of oxidative stress-induced cell death "," http://amigo.geneontology.org/amigo/term/GO:1903201"," HSPB1  SOD1"
0.0216568908079861,3,395,21.7224683544304,"GO:2001233 regulation of apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:2001233"," CD44  HSPB1  SOD1"
