"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.19824122920023e-08,14,1594,8.37343161856964,"GO:0042981 regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0042981"," CD74  BIRC3  TNFSF10  TNFRSF10C  SOD1  CD44  GADD45B  CCL2  HSPB1  ID1  RHOB  CEBPB  TXNIP  ATF3"
7.19824122920023e-08,14,1627,8.20359557467732,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," CD74  BIRC3  TNFSF10  TNFRSF10C  SOD1  CD44  GADD45B  CCL2  HSPB1  ID1  RHOB  CEBPB  TXNIP  ATF3"
1.9811780859569e-07,14,1810,7.37417127071823,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," CD74  BIRC3  TNFSF10  TNFRSF10C  SOD1  CD44  GADD45B  CCL2  HSPB1  ID1  RHOB  CEBPB  TXNIP  ATF3"
8.45670270109974e-07,14,2065,6.4635593220339,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," CD74  BIRC3  TNFSF10  TNFRSF10C  SOD1  CD44  GADD45B  CCL2  HSPB1  ID1  RHOB  CEBPB  TXNIP  ATF3"
9.97133309683896e-07,14,2127,6.27515279736718,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," CD74  BIRC3  TNFSF10  TNFRSF10C  SOD1  CD44  GADD45B  CCL2  HSPB1  ID1  RHOB  CEBPB  TXNIP  ATF3"
2.05222907694678e-06,16,3269,4.66625879473845,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CD74  CXCL2  GNAS  CCL2  GDF15  CD44  SOD1  HES1  ID1  STC1  ATF3  ASXL1  CEBPB  TXNIP  HSPB1  BIRC3"
2.2122083645962e-06,14,2320,5.753125,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," CD74  BIRC3  TNFSF10  TNFRSF10C  SOD1  CD44  GADD45B  CCL2  HSPB1  ID1  RHOB  CEBPB  TXNIP  ATF3"
3.47412056414569e-06,14,2427,5.49948496085703,"GO:0048584 positive regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048584"," CD74  CD44  CCL2  TNFSF10  GDF15  GNAS  GADD45B  HES1  SOD1  ASXL1  CEBPB  HSPB1  ATF3  BIRC3"
4.40820883553964e-06,12,1645,6.95471124620061,"GO:0009967 positive regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0009967"," CD74  CD44  CCL2  TNFSF10  GDF15  GNAS  GADD45B  HES1  SOD1  ASXL1  ATF3  BIRC3"
7.06295129620183e-06,14,2609,5.11584898428517,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," CD74  CXCL2  GNAS  CCL2  GDF15  CD44  HES1  ID1  SOD1  STC1  ATF3  CEBPB  HSPB1  BIRC3"
7.28737369580938e-06,12,1752,6.52996575342466,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," CXCL2  GNAS  SOD1  CCL2  RHOB  HES1  ID1  GDF15  STC1  ASXL1  CEBPB  TXNIP"
9.52874415436109e-06,12,1830,6.2516393442623,"GO:0010647 positive regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010647"," CD74  CD44  CCL2  TNFSF10  GDF15  GNAS  GADD45B  HES1  SOD1  ASXL1  ATF3  BIRC3"
9.52874415436109e-06,12,1836,6.2312091503268,"GO:0023056 positive regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023056"," CD74  CD44  CCL2  TNFSF10  GDF15  GNAS  GADD45B  HES1  SOD1  ASXL1  ATF3  BIRC3"
9.52874415436109e-06,8,563,13.5470692717584,"GO:0043065 positive regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0043065"," TNFSF10  TNFRSF10C  SOD1  GADD45B  RHOB  TXNIP  CCL2  ATF3"
9.52874415436109e-06,8,576,13.2413194444444,"GO:0043068 positive regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043068"," TNFSF10  TNFRSF10C  SOD1  GADD45B  RHOB  TXNIP  CCL2  ATF3"
9.52874415436109e-06,15,3300,4.33352272727273,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CD74  CXCL2  GNAS  CCL2  GDF15  SOD1  CD44  RHOB  HSPB1  HES1  ID1  STC1  ATF3  CEBPB  BIRC3"
2.12397929771221e-05,8,650,11.7338461538462,"GO:0010942 positive regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010942"," TNFSF10  TNFRSF10C  SOD1  GADD45B  RHOB  TXNIP  CCL2  ATF3"
2.12674734111939e-05,8,655,11.6442748091603,"GO:0097190 apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097190"," CD74  TNFSF10  TNFRSF10C  CD44  HSPB1  CEBPB  SOD1  ATF3"
2.18396795073834e-05,17,4821,3.36182845882597,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," CD74  CXCL2  GNAS  CCL2  GDF15  SOD1  CD44  RHOB  HSPB1  HES1  ID1  STC1  ATF3  ASXL1  CEBPB  TXNIP  BIRC3"
2.24283843549078e-05,10,1271,7.50098347757671,"GO:0060429 epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," GNAS  STC1  TXNIP  HES1  ID1  SOD1  ASXL1  CEBPB  CD44  RHOB"
2.24283843549078e-05,10,1272,7.49508647798742,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  GNAS  SOD1  CCL2  RHOB  HES1  ID1  GDF15  STC1  CEBPB"
6.25594790811639e-05,9,1078,7.95953153988868,"GO:1902533 positive regulation of intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:1902533"," CD74  CD44  CCL2  TNFSF10  GNAS  GADD45B  GDF15  SOD1  BIRC3"
7.09294282847842e-05,11,1857,5.6473478729133,"GO:1902531 regulation of intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:1902531"," CD74  CD44  CCL2  TNFSF10  GNAS  GADD45B  GDF15  HSPB1  SOD1  ATF3  BIRC3"
8.23092341922425e-05,13,2847,4.3533105022831,"GO:0035556 intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035556"," CD74  CD44  CCL2  TNFSF10  GNAS  GADD45B  GDF15  HSPB1  SOD1  RHOB  ATF3  CEBPB  BIRC3"
0.000139246342089171,13,2990,4.14510869565217,"GO:0007166 cell surface receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007166"," CD74  CXCL2  CCL2  HES1  TNFSF10  GDF15  TNFRSF10C  CD44  TXNIP  HSPB1  ATF3  BIRC3  ID1"
0.000151014494427724,10,1602,5.95115480649188,"GO:0016477 cell migration "," http://amigo.geneontology.org/amigo/term/GO:0016477"," CXCL2  CCL2  RHOB  CD44  MMP7  STC1  CD74  HES1  HSPB1  ID1"
0.000176425053016288,6,395,14.4816455696203,"GO:2001233 regulation of apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:2001233"," CD74  TNFSF10  CD44  HSPB1  SOD1  ATF3"
