"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000440130881202349,2,3,1173.38461538462,"GO:0035691 macrophage migration inhibitory factor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0035691"," CD74  CXCR4"
0.000440130881202349,2,3,1173.38461538462,"GO:2000446 regulation of macrophage migration inhibitory factor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:2000446"," CD74  CXCR4"
0.0155836370719793,8,2990,4.70923591458709,"GO:0007166 cell surface receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007166"," CD22  CD74  IFITM1  CXCR4  LGR5  COL1A2  GADD45A  BIRC3"
0.0155836370719793,6,1602,6.59204840103716,"GO:0016477 cell migration "," http://amigo.geneontology.org/amigo/term/GO:0016477"," CXCR4  LAMB3  MMP7  CD74  GADD45A  IFITM1"
0.0155836370719793,4,569,12.3731242395566,"GO:0019221 cytokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0019221"," CD74  IFITM1  CXCR4  BIRC3"
0.0155836370719793,5,977,9.00755845996378,"GO:0030334 regulation of cell migration "," http://amigo.geneontology.org/amigo/term/GO:0030334"," MMP7  CD74  GADD45A  CXCR4  IFITM1"
0.0155836370719793,5,1085,8.11095356256647,"GO:0040012 regulation of locomotion "," http://amigo.geneontology.org/amigo/term/GO:0040012"," MMP7  CD74  GADD45A  CXCR4  IFITM1"
0.0155836370719793,3,190,27.7906882591093,"GO:0044409 entry into host "," http://amigo.geneontology.org/amigo/term/GO:0044409"," IFITM1  CD74  CXCR4"
0.0155836370719793,3,183,28.8537200504414,"GO:0046718 viral entry into host cell "," http://amigo.geneontology.org/amigo/term/GO:0046718"," IFITM1  CD74  CXCR4"
0.0155836370719793,6,1806,5.84743163812931,"GO:0048870 cell motility "," http://amigo.geneontology.org/amigo/term/GO:0048870"," CXCR4  LAMB3  MMP7  CD74  GADD45A  IFITM1"
0.0155836370719793,3,193,27.3587086488641,"GO:0050792 regulation of viral process "," http://amigo.geneontology.org/amigo/term/GO:0050792"," IFITM1  CD74  CXCR4"
0.0155836370719793,5,1109,7.93542345841715,"GO:0051270 regulation of cellular component movement "," http://amigo.geneontology.org/amigo/term/GO:0051270"," MMP7  CD74  GADD45A  CXCR4  IFITM1"
0.0155836370719793,6,1806,5.84743163812931,"GO:0051674 localization of cell "," http://amigo.geneontology.org/amigo/term/GO:0051674"," CXCR4  LAMB3  MMP7  CD74  GADD45A  IFITM1"
0.0155836370719793,3,219,24.1106427818757,"GO:0052126 movement in host environment "," http://amigo.geneontology.org/amigo/term/GO:0052126"," IFITM1  CD74  CXCR4"
0.0155836370719793,2,26,135.390532544379,"GO:0070206 protein trimerization "," http://amigo.geneontology.org/amigo/term/GO:0070206"," CD74  COL1A2"
0.0155836370719793,5,1038,8.47821253890618,"GO:2000145 regulation of cell motility "," http://amigo.geneontology.org/amigo/term/GO:2000145"," MMP7  CD74  GADD45A  CXCR4  IFITM1"
0.0174731891903657,3,240,22.0009615384615,"GO:0051701 biological process involved in interaction with host "," http://amigo.geneontology.org/amigo/term/GO:0051701"," IFITM1  CD74  CXCR4"
0.018889573265425,2,49,71.839874411303,"GO:0085029 extracellular matrix assembly "," http://amigo.geneontology.org/amigo/term/GO:0085029"," LAMB3  COL1A2"
0.0205423789440248,7,2847,4.32755126854178,"GO:0035556 intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035556"," CD74  CXCR4  GADD45A  COL1A2  CD22  BIRC3  RRAD"
0.0213284816338537,6,1992,5.30143651529194,"GO:0040011 locomotion "," http://amigo.geneontology.org/amigo/term/GO:0040011"," CXCR4  LAMB3  MMP7  CD74  GADD45A  IFITM1"
0.0229784162416097,7,2945,4.18354446911323,"GO:0032879 regulation of localization "," http://amigo.geneontology.org/amigo/term/GO:0032879"," CD22  CD74  MMP7  GADD45A  CXCR4  RRAD  IFITM1"
0.0247483908282835,2,62,56.7766749379653,"GO:0046596 regulation of viral entry into host cell "," http://amigo.geneontology.org/amigo/term/GO:0046596"," IFITM1  CD74"
0.0269582688671338,3,314,16.8160215580598,"GO:0030336 negative regulation of cell migration "," http://amigo.geneontology.org/amigo/term/GO:0030336"," GADD45A  CD74  IFITM1"
0.0269582688671338,2,69,51.0167224080268,"GO:0030888 regulation of B cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0030888"," CD22  CD74"
0.0269582688671338,2,69,51.0167224080268,"GO:0052372 modulation by symbiont of entry into host "," http://amigo.geneontology.org/amigo/term/GO:0052372"," IFITM1  CD74"
0.0274286207935847,2,73,48.2212855637513,"GO:0001961 positive regulation of cytokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0001961"," CD74  CXCR4"
0.0274286207935847,6,2254,4.68520920073715,"GO:0006928 movement of cell or subcellular component "," http://amigo.geneontology.org/amigo/term/GO:0006928"," CXCR4  LAMB3  MMP7  CD74  GADD45A  IFITM1"
0.0274286207935847,3,355,14.8738894907909,"GO:0030198 extracellular matrix organization "," http://amigo.geneontology.org/amigo/term/GO:0030198"," MMP7  COL1A2  LAMB3"
0.0274286207935847,3,356,14.8321089023336,"GO:0043062 extracellular structure organization "," http://amigo.geneontology.org/amigo/term/GO:0043062"," MMP7  COL1A2  LAMB3"
0.0274286207935847,2,76,46.3178137651822,"GO:0043903 regulation of biological process involved in symbiotic interaction "," http://amigo.geneontology.org/amigo/term/GO:0043903"," IFITM1  CD74"
0.0274286207935847,3,359,14.7081637025927,"GO:0044403 biological process involved in symbiotic interaction "," http://amigo.geneontology.org/amigo/term/GO:0044403"," IFITM1  CD74  CXCR4"
0.0274286207935847,3,359,14.7081637025927,"GO:0045229 external encapsulating structure organization "," http://amigo.geneontology.org/amigo/term/GO:0045229"," MMP7  COL1A2  LAMB3"
0.0274286207935847,3,334,15.8090741593736,"GO:0051271 negative regulation of cellular component movement "," http://amigo.geneontology.org/amigo/term/GO:0051271"," GADD45A  CD74  IFITM1"
0.0274286207935847,2,81,43.4586894586895,"GO:0060760 positive regulation of response to cytokine stimulus "," http://amigo.geneontology.org/amigo/term/GO:0060760"," CD74  CXCR4"
0.0274286207935847,3,331,15.9523588194283,"GO:2000146 negative regulation of cell motility "," http://amigo.geneontology.org/amigo/term/GO:2000146"," GADD45A  CD74  IFITM1"
0.0280888806074246,3,367,14.3875497799204,"GO:0019058 viral life cycle "," http://amigo.geneontology.org/amigo/term/GO:0019058"," IFITM1  CD74  CXCR4"
0.0280888806074246,3,369,14.3095684803002,"GO:0040013 negative regulation of locomotion "," http://amigo.geneontology.org/amigo/term/GO:0040013"," GADD45A  CD74  IFITM1"
0.0325196999902679,6,2427,4.35124084815061,"GO:0048584 positive regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048584"," CD22  CD74  GADD45A  LGR5  CXCR4  BIRC3"
0.037097202967142,5,1645,5.34977788169278,"GO:0009967 positive regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0009967"," CD74  GADD45A  LGR5  CXCR4  BIRC3"
0.037097202967142,4,935,7.52974084738791,"GO:0071345 cellular response to cytokine stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071345"," CD74  IFITM1  CXCR4  BIRC3"
0.038136897526798,2,109,32.2949894142555,"GO:0032963 collagen metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0032963"," MMP7  COL1A2"
0.038136897526798,1,3,586.692307692308,"GO:0033140 negative regulation of peptidyl-serine phosphorylation of STAT protein "," http://amigo.geneontology.org/amigo/term/GO:0033140"," GADD45A"
