"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000168603755567819,10,2065,6.92524213075061,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," CD74  BIRC3  ACTB  GADD45A  CDKN1A  APP  PPP2R2B  VTCN1  CD24  CXCR4"
0.000168603755567819,10,2127,6.72337799717913,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," CD74  BIRC3  ACTB  GADD45A  CXCR4  CDKN1A  APP  PPP2R2B  VTCN1  CD24"
0.000208301893790231,9,1729,7.44393435511857,"GO:0007155 cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0007155"," ACTB  DSP  LAMB3  CXCR4  CD24  CD22  CD74  VTCN1  APP"
0.000208301893790231,10,2320,6.1640625,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," CD74  BIRC3  ACTB  GADD45A  CXCR4  CDKN1A  APP  PPP2R2B  VTCN1  CD24"
0.000233934412118492,10,2427,5.89230531520396,"GO:0048584 positive regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048584"," CD22  CD74  VTCN1  ACTB  GADD45A  LGR5  CD24  CXCR4  APP  BIRC3"
0.000277263464085684,5,308,23.2153003246753,"GO:0032944 regulation of mononuclear cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0032944"," CD22  CD24  CDKN1A  VTCN1  CD74"
0.000277263464085684,2,3,953.375,"GO:0035691 macrophage migration inhibitory factor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0035691"," CD74  CXCR4"
0.000277263464085684,5,304,23.5207648026316,"GO:0050670 regulation of lymphocyte proliferation "," http://amigo.geneontology.org/amigo/term/GO:0050670"," CD22  CD24  CDKN1A  VTCN1  CD74"
0.000277263464085684,2,3,953.375,"GO:2000446 regulation of macrophage migration inhibitory factor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:2000446"," CD74  CXCR4"
0.000365693262242335,6,629,13.6412957074722,"GO:0051249 regulation of lymphocyte activation "," http://amigo.geneontology.org/amigo/term/GO:0051249"," CD22  ACTB  CD24  CD74  CDKN1A  VTCN1"
