"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.48882291097807e-05,15,2086,5.14164369606903,"GO:0009888 tissue development "," http://amigo.geneontology.org/amigo/term/GO:0009888"," LAMB3  GNAS  DSP  FOXJ1  TXNIP  NRP1  CTSH  ID1  LGR5  COL1A2  UBB  ID4  PLCB1  CD44  LGALS3"
5.99915032391842e-05,12,1271,6.75088512981904,"GO:0060429 epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," GNAS  DSP  FOXJ1  TXNIP  NRP1  CTSH  ID1  LGR5  ID4  PLCB1  LGALS3  CD44"
0.00383331107225269,13,2320,4.006640625,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," TNFSF10  LGALS3  CD44  UBB  NRP1  CTSH  ID1  PPP2R2B  THEM4  TXNIP  CCND2  CD36  GAS1"
0.00412857827159332,12,2065,4.15514527845036,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," TNFSF10  LGALS3  CD44  UBB  NRP1  CTSH  ID1  PPP2R2B  THEM4  TXNIP  CCND2  GAS1"
0.00412857827159332,14,2867,3.49160708057203,"GO:0009653 anatomical structure morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0009653"," LAMB3  GNAS  NFKB2  DSP  NRP1  CTSH  ID1  FOXJ1  CD36  LGR5  ID4  CD44  COL1A2  UBB"
0.00412857827159332,12,2127,4.03402679830748,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," TNFSF10  LGALS3  CD44  UBB  NRP1  CTSH  ID1  PPP2R2B  THEM4  TXNIP  CCND2  GAS1"
0.00412857827159332,6,395,10.8612341772152,"GO:2001233 regulation of apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:2001233"," TNFSF10  LGALS3  CD44  UBB  NRP1  CTSH"
0.00456438376063557,11,1810,4.34549378453039,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," TNFSF10  LGALS3  CD44  UBB  NRP1  CTSH  ID1  TXNIP  CCND2  CD36  GAS1"
0.00655212587807271,17,4576,2.65636609484266,"GO:0048869 cellular developmental process "," http://amigo.geneontology.org/amigo/term/GO:0048869"," TPM4  ID1  ID4  LAMB3  DSP  FOXJ1  TXNIP  NFKB2  NRP1  LGALS3  CD36  LGR5  UBB  PLCB1  CD44  GAS1  SPANXB1"
0.00689895495191433,2,8,178.7578125,"GO:0021886 hypothalamus gonadotrophin-releasing hormone neuron differentiation "," http://amigo.geneontology.org/amigo/term/GO:0021886"," NRP1  UBB"
