"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
6.14594726862657e-07,11,1272,10.9927935010482,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  CCL2  RHOB  ZC3H12A  CD55  HES1  ID1  GDF15  STC1  CEBPB  ACTB"
3.95046128260926e-06,11,1627,8.59424298299529,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  CCL2  CDKN1A  ID1  RHOB  ZC3H12A  CEBPB"
3.95046128260926e-06,9,928,12.328125,"GO:0046649 lymphocyte activation "," http://amigo.geneontology.org/amigo/term/GO:0046649"," CD74  ACTB  ULBP2  CD55  HES1  CDKN1A  ZC3H12A  CEBPB  CCL2"
3.95046128260926e-06,8,629,16.1674615792263,"GO:0051249 regulation of lymphocyte activation "," http://amigo.geneontology.org/amigo/term/GO:0051249"," ACTB  CD55  CD74  HES1  CDKN1A  ZC3H12A  CEBPB  CCL2"
3.95046128260926e-06,11,1752,7.98106925418569,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," CXCL2  CCL2  RHOB  ZC3H12A  CD55  HES1  ID1  GDF15  STC1  CEBPB  ACTB"
4.28065365713278e-06,11,1810,7.72532228360958,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  CCL2  ZC3H12A  CDKN1A  ID1  RHOB  CEBPB"
7.82464963671994e-06,8,724,14.0460405156538,"GO:0002694 regulation of leukocyte activation "," http://amigo.geneontology.org/amigo/term/GO:0002694"," ACTB  ZC3H12A  CD55  CD74  HES1  CDKN1A  CEBPB  CCL2"
7.82464963671994e-06,11,2065,6.77134786117837,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  CCL2  CDKN1A  ID1  RHOB  ZC3H12A  CEBPB"
7.82464963671994e-06,9,1122,10.1965240641711,"GO:0045321 leukocyte activation "," http://amigo.geneontology.org/amigo/term/GO:0045321"," CD74  ACTB  ZC3H12A  ULBP2  CD55  HES1  CDKN1A  CEBPB  CCL2"
7.82464963671994e-06,7,488,18.2339480874317,"GO:0050863 regulation of T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0050863"," ACTB  CD55  CD74  HES1  ZC3H12A  CEBPB  CCL2"
7.82464963671994e-06,13,3300,5.00762626262626,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CD74  CXCL2  CCL2  GDF15  RHOB  ZC3H12A  CD55  HES1  ID1  STC1  CEBPB  ACTB  BIRC3"
7.82464963671994e-06,12,2609,5.84668455346876,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," CD74  CXCL2  CCL2  GDF15  ZC3H12A  CD55  HES1  ID1  STC1  CEBPB  ACTB  BIRC3"
7.82464963671994e-06,7,486,18.3089849108368,"GO:1903037 regulation of leukocyte cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:1903037"," ACTB  CD55  CD74  HES1  ZC3H12A  CEBPB  CCL2"
8.10817283927052e-06,8,788,12.9052453468697,"GO:0050865 regulation of cell activation "," http://amigo.geneontology.org/amigo/term/GO:0050865"," ACTB  ZC3H12A  CD55  CD74  HES1  CDKN1A  CEBPB  CCL2"
8.39763536124113e-06,10,1594,7.97469677959013,"GO:0042981 regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0042981"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  CCL2  ID1  RHOB  ZC3H12A  CEBPB"
