"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.39044511880413e-10,19,1810,7.74797718766708,"GO:0010941 regulation of cell death "," http://amigo.geneontology.org/amigo/term/GO:0010941"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  SOD1  CD44  CCL2  CDKN1B  MYC  ZC3H12A  CDKN1A  ID1  RHOB  CEBPB  TXNIP  CD36  GAS1  SGK1"
1.94464330964054e-10,18,1627,8.16579098677558,"GO:0043067 regulation of programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0043067"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  SOD1  CD44  CCL2  MYC  CDKN1B  CDKN1A  ID1  RHOB  ZC3H12A  CEBPB  TXNIP  GAS1  SGK1"
1.59322602447701e-09,17,1594,7.8717974663051,"GO:0042981 regulation of apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0042981"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  SOD1  CD44  CCL2  MYC  CDKN1B  ID1  RHOB  ZC3H12A  CEBPB  TXNIP  GAS1  SGK1"
3.00716715526728e-09,19,2320,6.04475806451613,"GO:0008219 cell death "," http://amigo.geneontology.org/amigo/term/GO:0008219"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  SOD1  CD44  CCL2  CDKN1B  MYC  ZC3H12A  SGK1  CDKN1A  ID1  RHOB  CEBPB  TXNIP  CD36  GAS1"
4.49414314216453e-09,18,2065,6.43377333437476,"GO:0006915 apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0006915"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  SOD1  CD44  CCL2  MYC  CDKN1B  SGK1  CDKN1A  ID1  RHOB  ZC3H12A  CEBPB  TXNIP  GAS1"
6.16374139695524e-09,18,2127,6.24623504254061,"GO:0012501 programmed cell death "," http://amigo.geneontology.org/amigo/term/GO:0012501"," CD74  BIRC3  TNFSF10  TNFRSF10C  ACTB  SOD1  CD44  CCL2  CDKN1B  MYC  SGK1  CDKN1A  ID1  RHOB  ZC3H12A  CEBPB  TXNIP  GAS1"
4.32844271538745e-08,16,1752,6.74060980998674,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," CXCL2  SOD1  CCL2  RHOB  ZC3H12A  CD55  CDKN1B  HES1  SGK1  ID1  GDF15  CD36  STC1  CEBPB  TXNIP  ACTB"
5.97740693240896e-08,20,3269,4.51573431748882,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," CD74  CXCL2  CCL2  GDF15  CD44  CD36  SOD1  ZC3H12A  CD55  CDKN1B  HES1  SGK1  ID1  STC1  CEBPB  TXNIP  GAS1  ACTB  BIRC3  MYC"
6.31637267684952e-08,20,3300,4.4733137829912,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," CD74  CXCL2  CCL2  GDF15  SOD1  CD44  CDKN1B  MYC  RHOB  ZC3H12A  CD55  HES1  SGK1  ID1  CD36  STC1  CEBPB  GAS1  ACTB  BIRC3"
6.36863765545105e-08,14,1272,8.12370663420572,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," CXCL2  SOD1  CCL2  RHOB  ZC3H12A  CD55  HES1  SGK1  ID1  GDF15  CD36  STC1  CEBPB  ACTB"
